Event FlagL3 FlagG5 TL3 TG5 TriggerFlag TT
10675 1 1 238 238 1 3
10676 1 1 201 239 1 3
10677 1 1 235 236 1 3
10678 1 1 200 238 1 3
10679 1 1 224 233 1 3
10680 1 1 84 84 1 3
10681 1 1 221 239 1 3
10682 1 1 201 239 1 3
10683 1 1 428 223 1 5
10684 1 1 200 238 1 3
10685 1 1 205 238 1 3
10686 1 1 200 238 1 3
10687 1 1 238 239 1 3
10688 1 1 197 235 1 3
10689 1 1 237 237 1 3
10690 1 1 200 239 1 3
10691 1 1 197 237 1 3
10692 1 1 197 235 1 3
10693 1 1 234 235 1 3
10694 1 1 201 239 1 3
10695 1 1 236 238 1 3
10696 1 1 201 239 1 3
10697 1 1 209 238 1 3
10698 1 1 200 238 1 3
10699 1 1 232 235 1 3
10700 1 1 201 238 1 3
10701 1 1 238 468 1 3
10702 1 1 201 239 1 3
10703 1 1 237 467 1 3
10704 1 1 200 238 1 3
10705 1 1 174 183 1 3
10706 1 1 200 238 1 3
10707 1 1 234 467 1 3
10708 1 1 238 239 1 3
10709 1 1 235 467 1 3
10710 1 1 238 238 1 3
10711 1 1 236 238 1 3
10712 1 1 237 238 1 3
10713 1 1 232 236 1 3
10714 1 1 237 238 1 3
10715 1 1 236 238 1 3
10716 1 1 238 239 1 3
10717 1 1 237 239 1 3
10718 1 1 238 238 1 3
10719 1 1 234 239 1 3
10720 1 1 238 238 1 3
10721 1 1 233 467 1 3
10722 1 1 238 239 1 3
10723 1 1 236 239 1 3
10724 1 1 239 239 1 3
10725 1 1 231 238 1 3
10726 1 1 200 239 1 3
10727 1 1 234 238 1 3
10728 1 1 0 0 1 3
10729 1 1 226 236 1 3
10730 1 1 200 238 1 3
10731 1 1 232 235 1 3
10732 1 1 238 239 1 3
10733 1 1 467 467 1 3
10734 1 1 238 239 1 3
10735 1 1 235 242 1 3
10736 1 1 238 239 1 3
10737 1 1 237 238 1 3
10738 1 1 238 239 1 3
10739 1 1 237 239 1 3
10740 1 1 238 239 1 3
10741 1 1 236 236 1 3
10742 1 1 237 239 1 3
10743 1 1 236 237 1 3
10744 1 1 235 235 1 3
10745 1 1 237 239 1 3
10746 1 1 238 239 1 3
10747 1 1 233 240 1 3
10748 1 1 238 239 1 3
10749 1 1 235 239 1 3
10750 1 1 238 239 1 3
10751 1 1 232 236 1 3
10752 1 1 238 239 1 3
10753 1 1 237 238 1 3
10754 1 1 239 239 1 3
10755 1 1 236 240 1 3
10756 1 1 238 239 1 3
10757 1 1 467 238 1 5
10758 1 1 238 239 1 3
10759 1 1 235 237 1 3
10760 1 1 234 235 1 3
10761 1 1 234 238 1 3
10762 1 1 239 239 1 3
10763 1 1 232 467 1 3
10764 1 1 238 239 1 3
10765 1 1 236 239 1 3
10766 1 1 238 239 1 3
10767 1 1 235 236 1 3
