Event FlagL3 FlagG5 TL3 TG5 TriggerFlag TT
10675 1 1 238 238 1 3
10677 1 1 235 236 1 3
10685 1 1 205 238 1 3
10687 1 1 238 239 1 3
10691 1 1 197 237 1 3
10693 1 1 234 235 1 3
10695 1 1 236 238 1 3
10697 1 1 209 238 1 3
10699 1 1 232 235 1 3
10701 1 1 238 468 1 3
10707 1 1 234 467 1 3
10709 1 1 235 467 1 3
10711 1 1 236 238 1 3
10713 1 1 232 236 1 3
10717 1 1 237 239 1 3
10719 1 1 234 239 1 3
10721 1 1 233 467 1 3
10723 1 1 236 239 1 3
10731 1 1 232 235 1 3
10737 1 1 237 238 1 3
10739 1 1 237 239 1 3
10741 1 1 236 236 1 3
10743 1 1 236 237 1 3
10745 1 1 237 239 1 3
10747 1 1 233 240 1 3
10749 1 1 235 239 1 3
10751 1 1 232 236 1 3
10753 1 1 237 238 1 3
10755 1 1 236 240 1 3
10757 1 1 467 238 1 5
10759 1 1 235 237 1 3
10761 1 1 234 238 1 3
10763 1 1 232 467 1 3
10765 1 1 236 239 1 3
10767 1 1 235 236 1 3
10769 1 1 234 236 1 3
10771 1 1 236 238 1 3
10773 1 1 234 467 1 3
10779 1 1 237 238 1 3
10781 1 1 235 239 1 3
10787 1 1 239 240 1 3
10789 1 1 233 468 1 3
10791 1 1 236 239 1 3
10801 1 1 235 239 1 3
10803 1 1 235 236 1 3
10805 1 1 236 467 1 3
10815 1 1 235 467 1 3
10819 1 1 234 236 1 3
10821 1 1 237 238 1 3
10823 1 1 232 238 1 3
10825 1 1 467 236 1 5
10829 1 1 232 239 1 3
11014 1 1 238 240 1 3
11044 1 1 235 240 1 3
11046 1 1 232 237 1 3
11054 1 1 234 468 1 3
11056 1 1 239 240 1 3
11058 1 1 234 236 1 3
11060 1 1 234 236 1 3
11066 1 1 468 238 1 5
11068 1 1 238 239 1 3
11074 1 1 236 238 1 3
11076 1 1 235 236 1 3
11078 1 1 237 239 1 3
11080 1 1 235 237 1 3
11084 1 1 237 467 1 3
11088 1 1 237 240 1 3
11090 1 1 235 239 1 3
11092 1 1 238 239 1 3
11094 1 1 234 235 1 3
11104 1 1 236 238 1 3
11112 1 1 233 236 1 3
11116 1 1 238 240 1 3
11118 1 1 236 238 1 3
11122 1 1 235 467 1 3
11124 1 1 231 237 1 3
11126 1 1 232 237 1 3
11130 1 1 231 238 1 3
11132 1 1 234 239 1 3
11140 1 1 236 237 1 3
11142 1 1 238 468 1 3
11148 1 1 235 237 1 3
11150 1 1 233 237 1 3
11152 1 1 234 239 1 3
11160 1 1 235 467 1 3
11168 1 1 467 468 1 3
11170 1 1 233 238 1 3
11172 1 1 237 237 1 3
11174 1 1 237 241 1 3
11178 1 1 239 239 1 3
11182 1 1 236 238 1 3
11184 1 1 238 239 1 3
11186 1 1 236 243 1 3
11188 1 1 236 240 1 3
11190 1 1 230 467 1 3
11192 1 1 237 238 1 3
11194 1 1 235 238 1 3
11198 1 1 236 238 1 3
11200 1 1 237 239 1 3
11202 1 1 237 243 1 3
11204 1 1 231 239 1 3
11206 1 1 236 238 1 3
11208 1 1 235 236 1 3
11214 1 1 236 238 1 3
11216 1 1 236 238 1 3
11218 1 1 233 235 1 3
11220 1 1 237 242 1 3
11222 1 1 235 237 1 3
11228 1 1 236 237 1 3
11230 1 1 236 237 1 3
11236 1 1 467 237 1 5
11238 1 1 234 241 1 3
11244 1 1 232 238 1 3
11246 1 1 238 239 1 3
11248 1 1 232 238 1 3
11252 1 1 238 239 1 3
11254 1 1 236 237 1 3
11256 1 1 235 467 1 3
11260 1 1 238 240 1 3
11262 1 1 234 235 1 3
11266 1 1 235 238 1 3
11268 1 1 235 237 1 3
11272 1 1 235 236 1 3
11274 1 1 238 238 1 3
11276 1 1 234 236 1 3
11282 1 1 235 237 1 3
11288 1 1 237 239 1 3
11290 1 1 235 237 1 3
11292 1 1 235 237 1 3
11296 1 1 235 467 1 3
11300 1 1 234 468 1 3
11310 1 1 233 467 1 3
11312 1 1 236 238 1 3
11316 1 1 238 240 1 3
11320 1 1 234 237 1 3
11322 1 1 236 241 1 3
11324 1 1 234 237 1 3
11326 1 1 236 237 1 3
11330 1 1 238 467 1 3
11332 1 1 234 235 1 3
11334 1 1 235 238 1 3
11336 1 1 235 240 1 3
11338 1 1 238 239 1 3
11340 1 1 235 238 1 3
11342 1 1 234 236 1 3
11348 1 1 233 237 1 3
11350 1 1 235 239 1 3
11352 1 1 238 467 1 3
11354 1 1 234 237 1 3
11360 1 1 467 236 1 5
11370 1 1 232 240 1 3
11372 1 1 237 239 1 3
11374 1 1 235 467 1 3
11376 1 1 236 236 1 3
11378 1 1 235 237 1 3
11382 1 1 236 239 1 3
11384 1 1 236 238 1 3
11386 1 1 235 238 1 3
11388 1 1 236 236 1 3
11390 1 1 237 467 1 3
11392 1 1 234 237 1 3
11394 1 1 236 237 1 3
11396 1 1 237 239 1 3
11398 1 1 235 236 1 3
11400 1 1 235 236 1 3
11402 1 1 235 467 1 3
11404 1 1 233 236 1 3
11408 1 1 236 236 1 3
11410 1 1 236 239 1 3
11412 1 1 237 238 1 3
11414 1 1 231 236 1 3
11416 1 1 234 235 1 3
11420 1 1 233 468 1 3
11422 1 1 234 241 1 3
