EID,Data,Time,Type,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER
1756,2012-03-13,17:23:12,E,6,27,510,241,510,241
1757,2012-03-13,17:23:39,E,6,1126,239,238,240,238
1758,2012-03-13,17:23:57,E,4,20,510,240,510,240
1759,2012-03-13,17:24:01,E,7,1925,240,238,511,238
1760,2012-03-13,17:24:18,L,3,17,510,239,510,239
1761,2012-03-13,17:25:07,E,4,22,510,240,511,240
1762,2012-03-13,17:25:17,L,2,10,510,239,511,239
1763,2012-03-13,17:25:17,L,3,18,510,239,510,239
1764,2012-03-13,17:25:24,L,3,13,510,240,510,240
1765,2012-03-13,17:26:21,E,7,1813,240,240,241,240
1766,2012-03-13,17:26:25,L,3,24,510,239,510,239
1767,2012-03-13,17:26:25,E,4,35,510,241,511,241
1768,2012-03-13,17:26:37,L,7,2697,239,239,240,239
1769,2012-03-13,17:26:40,E,6,38,510,242,510,242
1770,2012-03-13,17:26:42,E,5,22,510,239,510,239
1771,2012-03-13,17:27:19,E,4,39,510,241,510,241
1772,2012-03-13,17:27:36,E,4,21,510,241,511,241
1773,2012-03-13,17:28:03,L,1,0,510,510,510,510
1774,2012-03-13,17:28:17,L,3,28,510,242,511,242
1775,2012-03-13,17:28:19,E,4,13,510,239,510,239
1776,2012-03-13,17:28:28,E,5,21,510,239,511,239
1777,2012-03-13,17:28:58,E,4,35,510,240,510,240
1778,2012-03-13,17:29:03,L,3,25,510,238,510,238
1779,2012-03-13,17:29:04,E,4,47,510,240,510,240
1780,2012-03-13,17:29:37,E,4,32,510,238,510,238
1781,2012-03-13,17:29:38,E,25,619,239,239,239,239
1782,2012-03-13,17:29:44,L,3,14,510,241,510,241
1783,2012-03-13,17:29:45,L,1,0,510,238,510,238
1784,2012-03-13,17:29:46,E,13,879,242,240,242,240
1785,2012-03-13,17:29:50,E,4,23,510,239,510,239
1786,2012-03-13,17:29:52,E,4,48,510,241,510,241
1787,2012-03-13,17:29:53,E,4,26,510,239,510,239
1788,2012-03-13,17:30:01,E,5,19,510,239,510,239
1789,2012-03-13,17:30:01,E,5,32,510,239,510,239
1790,2012-03-13,17:30:04,E,4,12,510,510,510,510
1791,2012-03-13,17:30:05,L,1,0,510,240,511,240
1792,2012-03-13,17:30:07,E,4,23,510,238,511,238
1793,2012-03-13,17:30:23,L,3,11,510,510,510,510
1794,2012-03-13,17:30:42,L,3,13,510,242,510,242
1795,2012-03-13,17:30:43,L,1,0,510,239,510,239
1796,2012-03-13,17:31:08,L,3,22,510,240,510,240
1797,2012-03-13,17:31:16,L,1,0,510,239,510,239
1798,2012-03-13,17:31:54,E,7,53,510,242,510,242
1799,2012-03-13,17:31:57,L,1,0,510,240,510,240
1800,2012-03-13,17:32:00,E,4,20,510,239,511,239
1801,2012-03-13,17:32:03,E,6,57,510,240,511,240
1802,2012-03-13,17:32:06,E,4,19,510,239,510,239
1803,2012-03-13,17:32:08,E,4,23,510,238,511,238
1804,2012-03-13,17:32:13,L,3,15,510,240,510,240
1805,2012-03-13,17:32:14,E,6,68,510,240,510,240
1806,2012-03-13,17:32:17,L,3,21,510,239,511,239
1807,2012-03-13,17:32:18,L,2,9,510,239,511,239
1808,2012-03-13,17:32:23,E,4,19,510,238,510,238
1809,2012-03-13,17:32:25,L,3,25,510,240,510,240
1810,2012-03-13,17:32:26,L,3,12,510,193,511,193
1811,2012-03-13,17:32:33,E,4,13,510,242,510,242
1812,2012-03-13,17:32:35,L,3,12,510,241,510,241
1813,2012-03-13,17:32:38,E,9,65,510,242,511,242
1814,2012-03-13,17:32:40,L,3,19,510,238,510,238
1815,2012-03-13,17:32:50,E,5,32,510,240,510,240
1816,2012-03-13,17:32:51,L,3,23,510,241,510,241
1817,2012-03-13,17:32:53,L,2,8,510,240,511,240
1818,2012-03-13,17:32:56,L,2,13,510,241,510,241
1819,2012-03-13,17:32:59,L,2,6,510,240,510,240
1820,2012-03-13,17:33:01,L,3,14,510,238,511,238
1821,2012-03-13,17:33:05,E,4,37,510,242,510,242
1822,2012-03-13,17:33:06,L,1,0,510,240,510,240
1823,2012-03-13,17:33:09,E,4,32,510,239,510,239
1824,2012-03-13,17:33:11,L,3,21,510,240,510,240
1825,2012-03-13,17:33:12,E,6,38,510,240,511,240
1826,2012-03-13,17:33:22,L,3,15,510,239,510,239
1827,2012-03-13,17:33:23,E,4,27,510,241,510,241
1828,2012-03-13,17:33:25,E,4,30,510,239,510,239
1829,2012-03-13,17:33:27,E,4,21,510,241,511,241
1830,2012-03-13,17:33:27,L,3,18,510,242,510,242
1831,2012-03-13,17:33:29,L,2,10,510,239,510,239
1832,2012-03-13,17:33:33,E,7,106,510,240,511,240
1833,2012-03-13,17:33:34,E,4,18,510,241,510,241
