EID,Date,Time,Type,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER
10675,2013-03-09,18:16:20,E,10,688,242,241,242,241
10676,2013-03-09,18:16:20,C,0,6104408,242,243,243,242
10677,2013-03-09,18:18:12,E,29,1336,241,240,243,240
10678,2013-03-09,18:18:12,C,0,6205188,242,242,243,242
10679,2013-03-09,18:18:25,D,76,7143,242,250,252,242
10680,2013-03-09,18:18:25,C,0,4891684,88,87,228,87
10681,2013-03-09,18:29:52,D,289,32165,253,239,243,239
10682,2013-03-09,18:29:53,C,0,6375492,242,243,243,242
10683,2013-03-09,18:32:54,E,22,505,236,243,472,236
10684,2013-03-09,18:32:54,C,0,6183078,242,242,242,242
10685,2013-03-09,18:52:14,E,15,6588,242,242,242,242
10686,2013-03-09,18:52:14,C,0,6556733,242,242,243,242
10687,2013-03-09,19:00:55,E,16,950,243,242,243,242
10688,2013-03-09,19:00:55,C,0,6627982,242,242,243,242
10689,2013-03-09,19:02:23,E,5,400,241,240,472,240
10690,2013-03-09,19:02:23,C,0,6577212,242,242,242,242
10691,2013-03-09,19:04:50,E,23,782,242,239,472,239
10692,2013-03-09,19:04:50,C,0,6630795,242,242,242,242
10693,2013-03-09,19:05:45,E,18,989,240,238,240,238
10694,2013-03-09,19:05:46,C,0,6634900,243,242,243,242
10695,2013-03-09,19:06:02,E,9,372,246,241,241,241
10696,2013-03-09,19:06:03,C,0,6658822,243,242,243,242
10697,2013-03-09,19:09:49,E,72,2785,243,243,244,243
10698,2013-03-09,19:09:49,C,0,6620520,242,242,243,242
10699,2013-03-09,19:12:10,E,37,1855,240,237,240,237
10700,2013-03-09,19:12:10,C,0,6600626,242,243,243,242
10701,2013-03-09,19:16:52,E,8,293,472,242,243,242
10702,2013-03-09,19:16:53,C,0,6563149,242,242,243,242
10703,2013-03-09,19:22:15,E,9,225,472,242,242,242
10704,2013-03-09,19:22:16,C,0,6555740,242,242,243,242
10705,2013-03-09,19:23:23,D,66,1638,218,181,255,181
10706,2013-03-09,19:23:23,C,0,6563704,242,242,243,242
10707,2013-03-09,19:24:34,E,9,263,472,238,239,238
10708,2013-03-09,19:24:34,C,0,6612676,242,242,242,242
10709,2013-03-09,19:25:13,E,18,313,472,238,242,238
10710,2013-03-09,19:25:13,C,0,6561555,242,242,243,242
10711,2013-03-09,19:25:43,E,19,1517,242,241,242,241
10712,2013-03-09,19:25:43,C,0,6555157,242,242,243,242
10713,2013-03-09,19:28:16,E,17,568,240,237,240,237
10714,2013-03-09,19:28:17,C,0,6536679,242,242,243,242
10715,2013-03-09,19:29:47,E,6,574,242,241,242,241
10716,2013-03-09,19:29:48,C,0,6545193,242,242,243,242
10717,2013-03-09,19:30:18,E,16,1489,243,243,243,243
10718,2013-03-09,19:30:18,C,0,6538771,242,242,243,242
10719,2013-03-09,19:30:47,E,27,1403,242,241,241,241
10720,2013-03-09,19:30:48,C,0,6540163,242,242,243,242
10721,2013-03-09,19:33:28,E,9,363,472,238,239,238
10722,2013-03-09,19:33:28,C,0,6519230,242,242,243,242
10723,2013-03-09,19:35:01,E,102,4575,243,240,242,240
10724,2013-03-09,19:35:02,C,0,6518893,242,242,243,242
10725,2013-03-09,19:36:57,D,203,52203,242,241,242,241
10726,2013-03-09,19:36:58,C,0,6415193,242,242,243,242
10727,2013-03-09,19:40:31,D,152,5834,251,239,299,239
10728,2013-03-09,19:40:31,C,0,6181868,242,48,243,48
10729,2013-03-09,19:40:35,D,363,45296,242,239,241,239
10730,2013-03-09,19:40:35,C,0,6419880,242,242,243,242
10731,2013-03-09,19:44:32,E,8,187,240,230,472,230
10732,2013-03-09,19:44:32,C,0,6517404,242,242,243,242
10733,2013-03-09,19:45:09,E,6,221,472,240,472,240
10734,2013-03-09,19:45:09,C,0,6515127,242,242,242,242
10735,2013-03-09,19:45:55,E,15,271,246,241,242,241
10736,2013-03-09,19:45:55,C,0,6508269,243,243,243,243
10737,2013-03-09,19:54:32,E,13,623,242,240,241,240
10738,2013-03-09,19:54:33,C,0,6505669,242,242,243,242
10739,2013-03-09,19:54:42,E,21,835,243,242,243,242
10740,2013-03-09,19:54:42,C,0,6513059,242,242,243,242
10741,2013-03-09,20:00:34,E,7,592,240,240,240,240
10742,2013-03-09,20:00:34,C,0,6590498,242,242,243,242
10743,2013-03-09,20:01:22,E,38,17221,241,239,241,239
10744,2013-03-09,20:01:22,C,0,6590659,242,242,243,242
10745,2013-03-09,20:02:00,E,20,1029,244,242,242,242
10746,2013-03-09,20:02:00,C,0,6586063,243,243,243,243
10747,2013-03-09,20:02:05,E,15,279,244,237,243,237
10748,2013-03-09,20:02:06,C,0,6592743,242,243,243,242
10749,2013-03-09,20:06:35,E,39,1795,242,238,242,238
10750,2013-03-09,20:06:35,C,0,6587850,242,242,243,242
10751,2013-03-09,20:11:47,E,23,899,241,237,241,237
10752,2013-03-09,20:11:47,C,0,6576328,242,242,243,242
10753,2013-03-09,20:14:05,E,24,1850,242,241,242,241
10754,2013-03-09,20:14:05,C,0,6573947,242,242,243,242
10755,2013-03-09,20:17:11,E,20,475,243,238,472,238
10756,2013-03-09,20:17:11,C,0,6564627,242,243,243,242
10757,2013-03-09,20:17:46,E,20,313,244,244,472,244
10758,2013-03-09,20:17:47,C,0,6566603,242,243,243,242
10759,2013-03-09,20:22:47,E,23,828,240,239,239,239
10760,2013-03-09,20:22:47,C,0,6563873,242,242,243,242
10761,2013-03-09,20:27:21,E,29,635,242,238,242,238
10762,2013-03-09,20:27:21,C,0,6595350,242,242,243,242
10763,2013-03-09,20:29:48,E,14,369,472,238,240,238
10764,2013-03-09,20:29:48,C,0,6593870,242,242,243,242
10765,2013-03-09,20:30:20,E,13,486,243,239,241,239
10766,2013-03-09,20:30:20,C,0,6599618,242,242,243,242
10767,2013-03-09,20:38:27,E,14,1601,240,239,239,239
10768,2013-03-09,20:38:28,C,0,6606994,242,242,242,242
10769,2013-03-09,20:42:21,E,31,1407,240,238,239,238
10770,2013-03-09,20:42:21,C,0,6616766,242,243,243,242
10771,2013-03-09,20:47:07,E,14,963,242,241,241,241
10772,2013-03-09,20:47:07,C,0,6618949,242,242,243,242
10773,2013-03-09,20:50:54,E,16,273,472,238,241,238
10774,2013-03-09,20:50:54,C,0,6598456,242,242,243,242
