,event,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
0,10675,1.2094348999999998,0.36440611,0.61500646,0.63377498,0.41452752,0.60257846,0.42061335,0.31465209,0.40073558,0.62688537,0.18225362,0.44767479,0.32868636,0.28377728,0.33329648,0.4118562,0.37264161,0.41958371,0.19174103,0.34143163,0.78618562,0.37410625,0.34887461,0.51498324,0.60664691,0.65258126,0.5902028,0.60320923,0.67817117,0.38117306,0.50028586,0.56348785,0.36060538,0.73543441,0.28325597,0.51335065,0.68183946,0.80431419,0.56159253,0.36775011,0.32625248,0.41868261,0.45076492,0.28028096,0.48297724,0.40034092,0.34668484,0.54292592,0.37646506,1.0,0.40625482,0.31290703,0.61955278,0.51486535,0.58797389,0.69629879,0.2526341,0.54574784,0.63248582,0.54720922,0.58948429,0.4230208,0.41313931,0.59853597,0.67408977,0.58489749,0.6004506,0.6782169,0.54042255,0.61523322,0.24738571,0.32689192,0.2676004,0.36650404,0.31735493,0.49248058,0.16313082,0.19793728,1.0,0.17654951,0.63982096,0.20818283,0.19858856,0.21079241,0.21329314,0.20841878,0.25488036,0.25951551,0.20773875,0.44594381,0.27705892,0.79223378,0.4631156,0.39809092,0.4985695,0.53115767,0.94593717,1.1525953000000002,0.49989853,0.82085875,1.1226902,0.65488898,0.85166891,0.91498196,0.24963437,0.59629087,1.1022763,0.38571385,0.83718015
1,10677,1.2094348999999998,0.36331994,0.59813502,0.631097,0.41189571,0.59314636,0.41121853,0.30535308,0.40527877,0.61436848,0.18036337,0.44384965,0.32420118,0.28441512,0.33339502,0.41576907,0.36655109,0.41705111,0.1862404,0.33745197,0.78719456,0.36555962,0.34324755,0.51082832,0.60498557,0.62821428,0.58205504,0.60179972,0.65386318,0.37586037,0.49100465,0.56401258,0.35767597,0.73121002,0.27563962,0.49851994,0.66034125,0.78060754,0.5293822,0.36051024,0.30936134,0.409033,0.43761581,0.27775155,0.46805811,0.39369425,0.34256377,0.52692433,0.36968619,1.0,0.39466805,0.30407471,0.61469557,0.50989576,0.58260816,0.67892958,0.24614899,0.5420498,0.6183193,0.53685996,0.57820098,0.41066361,0.38855224,0.56849912,0.66571774,0.57088145,0.59024774,0.67326075,0.5342908,0.61343099,0.24240494,0.31316071,0.26167724,0.36385303,0.31359063,0.48071199,0.15941941,0.19315865,1.0,0.17684695,0.63918529,0.20059168,0.1994979,0.20779879,0.21318016,0.20283563,0.25481921,0.25331543,0.20092962,0.429208,0.26532041,0.79081954,0.44842051,0.38251359,0.49000338,0.52678523,0.93278322,1.1436053999999998,0.49934006,0.79939508,1.1133788999999998,0.64551572,0.8601454,0.90872724,0.25146509,0.58999946,1.0540653,0.38008713,0.80504467
2,10685,1.1813569,0.38280488,0.53050375,0.62854153,0.40620454,0.60744579,0.39891781,0.30204758,0.41135562,0.63364584,0.19738477,0.45270978,0.30959269,0.27667345,0.33353058,0.41407334,0.37305291,0.43589933,0.18269082,0.34275656,0.8083421,0.35236544,0.34212061,0.5080972,0.60747759,0.61909713,0.59006967,0.59303684,0.59482178,0.37133508,0.48527503,0.51957001,0.35811201,0.74684779,0.26258688,0.49945877,0.60514587,0.75319242,0.50715517,0.35684451,0.29276434,0.4036508,0.43419351,0.26797941,0.43908939,0.38903609,0.33700827,0.50714056,0.36440705,1.0,0.39329163,0.29838747,0.59566957,0.52082319,0.57504742,0.55789943,0.24899404,0.56024,0.63745984,0.51439762,0.53467311,0.41461757,0.36930489,0.56027183,0.68609049,0.56079513,0.59886848,0.66183839,0.5173323,0.61913454,0.24455622,0.30849428,0.25705963,0.35324287,0.30370188,0.44553413,0.1708933,0.18596181,1.0,0.17583492,0.64906582,0.20112452,0.19476151,0.20361597,0.21844644,0.19506386,0.25716692,0.25593394,0.19837957,0.42070054,0.2570117,0.80279676,0.44524664,0.36617806,0.49994116,0.5146675,0.92015335,1.1274103000000002,0.50041785,0.81528488,0.86521405,0.63702987,0.87282397,0.91297117,0.25493792,0.60893368,1.0448719000000002,0.37436575,0.78373757
3,10687,1.1909888000000002,0.39142674,0.52561226,0.62598462,0.41627208,0.62826513,0.4051647,0.30984666,0.4135716,0.64531251,0.19964024,0.45655022,0.3093946,0.27816743,0.33766959,0.41947877,0.3809259,0.43780229,0.18510066,0.34881682,0.82050402,0.35260506,0.34384081,0.50670428,0.60799458,0.61723103,0.59622848,0.60497187,0.59998144,0.37602186,0.49547076,0.53322085,0.36965941,0.76432492,0.26590798,0.51369984,0.61201029,0.76159838,0.51076395,0.36663714,0.30238689,0.41514295,0.43662903,0.26996932,0.4403783,0.38818736,0.33887646,0.50595503,0.36651947,1.0,0.39529748,0.29994184,0.60616422,0.52794813,0.5863738,0.56208885,0.25694522,0.57686532,0.64725614,0.52753908,0.54606736,0.42297754,0.37182716,0.57405866,0.70866883,0.56005768,0.59762663,0.67372308,0.52201329,0.61796042,0.24313162,0.30518071,0.25494558,0.3556795,0.31024651,0.44973304,0.17310145,0.18858375,1.0,0.17984987,0.65931825,0.20741128,0.20001066,0.21140947,0.22494598,0.19948044,0.26864741,0.26571797,0.20538585,0.43410455,0.26487638,0.81213021,0.447824,0.37117969,0.50849355,0.51807401,0.9232486,1.152048,0.50038638,0.83598701,0.86291156,0.65627087,0.88760078,0.93919332,0.25848959,0.63159022,1.089275,0.38630669,0.821904
4,10689,1.1909888000000002,0.38527864,0.52295577,0.62565068,0.41640962,0.61839754,0.40084308,0.3081546,0.41257189,0.64169477,0.20045444,0.46263657,0.31236905,0.28010429,0.33894232,0.41382579,0.37725459,0.43720048,0.18405282,0.34525423,0.81789935,0.33425733,0.34376647,0.51154419,0.61404424,0.62296687,0.60701593,0.61229695,0.6062175,0.38326985,0.49581102,9.077483099999998,0.36663818,0.75005286,0.26026232,0.5108811,0.59562849,0.74655967,0.50812748,0.36630939,0.29702293,0.41198009,0.43598957,0.26976439,0.44496574,0.39613948,0.34026134,0.5092895,0.3742349,1.0,0.40045437,0.2995246,0.59945477,0.52997208,0.58071038,0.54865768,0.25250198,0.56373993,0.6448551,0.51603988,0.53884164,0.41592174,0.35438193,0.57271467,0.68551004,0.56348012,0.60630161,0.67204674,0.51717279,0.62260004,0.24533032,0.30834795,0.26020197,0.36845916,0.31070243,0.45970209,0.17722785,0.19128927,1.0,0.18032645,0.65814125,0.20723924,0.19856699,0.20720716,0.22333332,0.19699084,0.26251089,0.2554085,0.20218281,0.42089069,0.25783798,0.801549,0.4456791,0.3683658,0.50752097,0.51985473,0.92816366,1.1518237,0.51069481,0.82318992,0.86306138,0.64432538,0.88802715,0.91257181,0.2527129,0.61184026,1.0576697,0.3730012,0.7941293
5,10691,1.1618491000000002,0.37930775,0.51225231,0.61643034,0.39802401,0.60646074,0.39054658,0.30246804,0.40148384,0.62512283,0.19634766,0.45485056,0.30735485,0.27482989,0.32681057,0.40575749,0.3696387,0.42946269,0.18096546,0.34063253,0.80109135,0.34803649,0.3342669,0.50024019,0.58679791,0.59751763,0.58479469,0.59461507,0.59502402,0.37536181,0.48194669,0.54715981,0.35503749,0.73804777,0.25934917,0.49455148,0.58877748,0.73878741,0.5021411,0.35735898,0.28778948,0.40976348,0.4276208,0.26407593,0.42802891,0.38674328,0.3344768,0.49527747,0.36032856,1.0,0.3883245,0.2945254,0.5899627,0.52124882,0.56034745,0.54307983,0.24860048,0.56588755,0.63878805,0.50841709,0.53219258,0.40286465,0.36252053,0.55588413,0.67288373,0.5495435,0.59473338,0.65715099,0.50669632,0.60798217,0.23684646,0.30139033,0.24966744,0.35429494,0.30751721,0.43834422,0.17181529,0.18507729,1.0,0.17543393,0.64817827,0.2045378,0.19559335,0.2032843,0.21992226,0.19275159,0.25985864,0.25417409,0.19788481,0.41603215,0.2545861,0.78888187,0.4329207,0.36184971,0.49837354,0.50573764,0.91024801,1.137472,0.4947845,0.81112828,0.86318878,0.63820522,0.86224007,0.89827389,0.25302643,0.60762592,1.0360493,0.37220016,0.79978367
6,10693,1.1618491000000002,0.3834109,0.5175519,0.6120081,0.40344332,0.60436393,0.39476739,0.30318819,0.40709389,0.63334074,0.19634321,0.45384645,0.30610315,0.27264854,0.33055146,0.40724077,0.37266821,0.4304862,0.18214325,0.34394237,0.80672335,0.36164651,0.34236891,0.50131692,0.59844037,0.60513728,0.57833335,0.60538299,0.58552597,0.36915914,0.47992362,0.54815645,0.35422373,0.72917196,0.25958242,0.49822475,0.59424391,0.74610615,0.50708424,0.36383265,0.29268696,0.40769674,0.42765442,0.26588342,0.42990952,0.3844984,0.33066602,0.49532572,0.35620699,1.0,0.38849516,0.29320498,0.57802705,0.51003384,0.56061,0.54301244,0.24655333,0.56296627,0.63419775,0.51530481,0.53045055,0.4092566,0.37889345,0.5580103,0.68192467,0.55296697,0.60028807,0.65930139,0.51405166,0.6139175,0.23782672,0.29931492,0.2521597,0.35546402,0.30423237,0.43836097,0.17031416,0.18071347,1.0,0.17295121,0.63423435,0.19785034,0.19170091,0.19988213,0.21879706,0.19119289,0.25525803,0.25555744,0.19743606,0.41684343,0.25472325,0.79930467,0.44345238,0.3668224,0.49614603,0.51050034,0.91219682,1.1221381000000001,0.49596939,0.8097992,0.82781849,0.60894163,0.84766817,0.88973149,0.24987411,0.60073181,1.0411318999999999,0.37265508,0.8075619
7,10695,1.1618491000000002,0.37757532,0.50532423,0.61833832,0.40527501,0.60495653,0.39139304,0.30655145,0.40811377,0.62704545,0.1933504,0.44749868,0.30461407,0.27527802,0.33023815,0.4132034,0.36929073,0.43365451,0.18194398,0.34445877,0.80263763,0.35194549,0.33537178,0.4936447,0.59645078,0.5928702,0.58318217,0.58860333,0.58730752,0.37095883,0.48234563,0.54622406,0.35942575,0.73994754,0.25990245,0.50236045,0.5899008,0.74412377,0.50270565,0.36084145,0.29126497,0.40130311,0.42581903,0.26341615,0.43294618,0.38524002,0.32952272,0.50234779,0.36233211,1.0,0.39153037,0.29854185,0.59557847,0.52310573,0.57186362,0.55340863,0.25211513,0.5721781,0.6432475,0.51315827,0.53802512,0.40281227,0.37558414,0.56113512,0.66462621,0.55201426,0.60305167,0.65094189,0.50870426,0.59800043,0.23690735,0.30185443,0.25029652,0.35012902,0.30317073,0.43852354,0.17149789,0.18435202,1.0,0.17625402,0.6393326,0.20269085,0.19200981,0.20303506,0.22148238,0.19462537,0.26119403,0.25726466,0.20114935,0.41884488,0.25673627,0.79952844,0.44078039,0.36133405,0.48766367,0.50539136,0.91246305,1.1274483,0.49196475,0.80907042,0.83848675,0.63897864,0.83773051,0.90020938,0.25426887,0.60739073,1.0481683000000002,0.37917193,0.80695059
8,10697,1.1835518,0.39445573,0.53146172,0.64589896,0.41874852,0.63402094,0.3997468,0.31788252,0.42544343,0.64837019,0.20562468,0.46855922,0.31888907,0.28777097,0.34216494,0.4238935,0.37958415,0.44777511,0.18880062,0.35177669,0.82942101,0.36128472,0.35458838,0.51849042,0.63011781,0.63322545,0.60799364,0.62818481,0.61422586,0.38395538,0.49585874,0.56520681,0.37137388,0.7522339,0.26659008,0.51297673,0.60311286,0.77454652,0.5217842,0.38115449,0.30697188,0.42359129,0.44315162,0.28370287,0.45772916,0.41423102,0.35485974,0.51922782,0.37439893,1.0,0.39961633,0.30160195,0.62059131,0.53668325,0.58197575,0.56462134,0.25959524,0.59812425,0.65588245,0.5278495,0.5612546,0.42394753,0.37636476,0.56894846,0.70380557,0.58290093,0.63618845,0.68495471,0.53062173,0.63102869,0.25140058,0.3204442,0.26377171,0.36673999,0.31751955,0.44937652,0.17736354,0.18575166,1.0,0.1805902,0.66019699,0.20651135,0.19829771,0.20517653,0.2271236,0.19693137,0.26562553,0.26248637,0.20711734,0.43421262,0.25152021,0.83107165,0.45973057,0.37749947,0.52818267,0.53133065,0.96841361,1.1659003000000001,0.51021035,0.84474278,0.91544613,0.6624993,0.86856791,0.93362334,0.26547367,0.61958392,1.0484134,0.38709506,0.8282182
9,10699,1.1835518,0.3908899,0.52961277,0.63138657,0.41553487,0.62954472,0.40139075,0.31782939,0.42291732,0.63774069,0.20319156,0.46559413,0.31206424,0.28273918,0.34172423,0.4250964,0.3816038,0.44708764,0.18991889,0.35251033,0.81614381,0.35530816,0.34491018,0.51546545,0.61775468,0.61454137,0.59217556,0.61931599,0.59455443,0.37845223,0.49980133,0.56582712,0.36989923,0.76298307,0.26849613,0.51371878,0.60000747,0.76928234,0.51627393,0.38379821,0.3033939,0.41121927,0.43570244,0.27118486,0.4451589,0.40185181,0.3480896,0.51690093,0.36790031,1.0,0.39820746,0.30291921,0.61287113,0.52816806,0.59015974,0.56426894,0.26085023,0.60518131,0.65794123,0.53401799,0.56554559,0.41738513,0.36885109,0.56856167,0.69895605,0.57710685,0.63013222,0.67268267,0.51495875,0.61100124,0.24457372,0.30707446,0.25871739,0.36621777,0.3155943,0.44392627,0.17431889,0.18449052,1.0,0.18069562,0.66722798,0.2086364,0.19962854,0.20699796,0.2317009,0.19861476,0.26949489,0.26538798,0.20796469,0.43043694,0.24790967,0.82613481,0.45318367,0.37456189,0.50171772,0.51824784,0.94514195,1.1557462,0.50674118,0.83277945,0.89247541,0.65541202,0.87053166,0.94267643,0.26769393,0.62964362,1.0452293,0.38821131,0.83445756
