Year Flight Event Theta
2013 1 10675 2.592400e-01
2013 1 10677 2.410300e-01
2013 1 10685 2.361000e-01
2013 1 10687 2.395100e-01
2013 1 10691 6.762000e-01
2013 1 10693 2.056000e-01
2013 1 10695 4.978100e-01
2013 1 10697 7.353600e-01
2013 1 10699 7.670000e-01
2013 1 10701 1.948700e-01
2013 1 10703 2.606400e-01
2013 1 10707 6.795800e-01
2013 1 10709 2.702800e-01
2013 1 10711 1.764900e-01
2013 1 10713 6.544200e-01
2013 1 10717 6.415000e-02
2013 1 10719 2.525700e-01
2013 1 10721 2.098500e-01
2013 1 10723 8.577500e-01
2013 1 10731 3.890300e-01
2013 1 10735 6.004300e-01
2013 1 10737 4.418600e-01
2013 1 10739 2.846100e-01
2013 1 10741 1.352400e-01
2013 1 10743 7.306700e-01
2013 1 10745 3.828400e-01
2013 1 10747 5.314100e-01
2013 1 10749 6.697600e-01
2013 1 10751 1.899800e-01
2013 1 10753 1.328900e-01
2013 1 10755 3.884100e-01
2013 1 10757 7.977100e-01
2013 1 10759 4.263300e-01
2013 1 10761 4.657200e-01
2013 1 10763 1.060600e-01
2013 1 10765 2.105200e-01
2013 1 10767 4.272400e-01
2013 1 10769 6.503500e-01
2013 1 10771 3.070600e-01
2013 1 10773 4.637100e-01
2013 1 10779 2.064900e-01
2013 1 10781 3.944800e-01
2013 1 10787 3.797800e-01
2013 1 10789 2.834100e-01
2013 1 10791 5.486100e-01
2013 1 10801 5.813800e-01
2013 1 10803 1.936300e-01
2013 1 10805 1.935500e-01
2013 1 10815 2.468000e-02
2013 1 10819 2.712500e-01
2013 1 10821 4.256800e-01
2013 1 10823 5.563400e-01
2013 1 10825 9.920200e-01
2013 1 10829 2.621700e-01
2013 1 11014 3.187400e-01
2013 1 11044 3.672900e-01
2013 1 11046 3.514000e-01
2013 1 11054 3.213300e-01
2013 1 11056 6.661000e-02
2013 1 11058 4.889900e-01
2013 1 11060 2.239800e-01
2013 1 11066 3.078900e-01
2013 1 11068 2.760900e-01
2013 1 11074 3.393500e-01
2013 1 11076 2.953700e-01
2013 1 11078 4.108000e-01
2013 1 11080 1.047100e-01
2013 1 11084 2.243100e-01
2013 1 11088 1.116900e-01
2013 1 11090 4.391100e-01
2013 1 11092 1.994500e-01
2013 1 11094 6.776900e-01
2013 1 11104 3.517500e-01
2013 1 11112 4.603000e-01
2013 1 11116 1.769200e-01
2013 1 11118 1.528900e-01
2013 1 11122 1.216800e-01
2013 1 11124 6.607100e-01
2013 1 11126 2.649600e-01
2013 1 11130 5.851200e-01
2013 1 11132 6.761000e-01
2013 1 11140 2.652100e-01
2013 1 11142 6.331800e-01
2013 1 11148 2.842100e-01
2013 1 11150 7.681600e-01
2013 1 11152 3.796600e-01
2013 1 11160 5.993400e-01
2013 1 11168 2.335700e-01
2013 1 11170 8.547100e-01
2013 1 11172 6.573700e-01
2013 1 11174 6.374500e-01
2013 1 11178 3.576200e-01
2013 1 11182 1.631600e-01
2013 1 11184 2.674000e-01
2013 1 11186 6.220700e-01
2013 1 11188 2.732500e-01
2013 1 11190 5.217400e-01
2013 1 11192 4.313400e-01
2013 1 11194 3.837100e-01
2013 1 11198 5.501400e-01
2013 1 11200 4.274800e-01
2013 1 11202 1.396260e+00
2013 1 11204 6.476200e-01
2013 1 11206 6.688000e-02
2013 1 11208 1.166300e-01
2013 1 11214 3.326000e-01
2013 1 11216 2.259900e-01
2013 1 11218 5.197300e-01
2013 1 11220 1.092500e-01
2013 1 11222 9.113200e-01
2013 1 11228 4.868800e-01
2013 1 11230 5.367000e-02
2013 1 11236 5.415500e-01
2013 1 11238 5.384500e-01
2013 1 11244 4.563300e-01
2013 1 11246 3.207000e-02
2013 1 11248 4.183000e-01
2013 1 11252 1.150900e-01
2013 1 11254 6.711200e-01
2013 1 11256 2.436000e-02
2013 1 11260 2.059600e-01
2013 1 11262 3.598300e-01
2013 1 11264 8.343000e-02
2013 1 11266 2.023300e-01
2013 1 11268 2.107600e-01
2013 1 11272 3.913900e-01
2013 1 11274 5.310900e-01
2013 1 11276 6.332400e-01
2013 2 11282 6.202100e-01
2013 2 11288 3.573100e-01
2013 2 11290 6.257600e-01
2013 2 11292 4.727400e-01
2013 2 11296 1.061300e-01
2013 2 11300 5.898000e-02
2013 2 11310 4.043600e-01
2013 2 11312 4.143000e-01
2013 2 11316 3.286200e-01
2013 2 11320 2.958400e-01
2013 2 11322 5.058700e-01
2013 2 11324 2.636600e-01
2013 2 11326 2.467900e-01
2013 2 11330 3.679200e-01
2013 2 11332 5.479000e-01
2013 2 11334 4.434900e-01
2013 2 11336 4.996000e-02
2013 2 11338 1.580500e-01
2013 2 11340 7.494300e-01
2013 2 11342 6.092700e-01
2013 2 11348 4.188500e-01
2013 2 11350 1.224000e-01
2013 2 11352 1.909200e-01
2013 2 11354 2.413000e-01
2013 2 11360 3.391400e-01
2013 2 11370 5.371000e-01
2013 2 11372 2.535100e-01
2013 2 11374 1.064500e-01
2013 2 11376 6.765000e-01
2013 2 11378 3.476200e-01
2013 2 11382 2.324400e-01
2013 2 11384 2.123200e-01
2013 2 11386 5.490900e-01
2013 2 11388 5.490500e-01
2013 2 11390 2.057100e-01
2013 2 11392 4.109200e-01
2013 2 11394 5.238300e-01
2013 2 11396 2.340400e-01
2013 2 11398 1.192900e-01
2013 2 11400 2.881400e-01
2013 2 11402 4.144400e-01
2013 2 11404 2.454700e-01
2013 2 11408 6.994000e-01
2013 2 11410 3.382000e-01
2013 2 11412 1.425000e-01
2013 2 11414 5.624400e-01
2013 2 11416 1.668800e-01
2013 2 11420 3.028500e-01
2013 2 11422 2.355500e-01
2013 2 11424 1.903200e-01
2013 2 11428 2.498900e-01
2013 2 11430 5.536100e-01
2013 2 11434 7.106600e-01
2013 2 11436 3.688000e-01
2013 2 11438 3.727300e-01
2013 2 11440 2.560500e-01
2013 2 11442 2.660000e-01
2013 2 11444 3.952200e-01
2013 2 11448 2.671800e-01
2013 2 11454 5.208100e-01
2013 2 11458 5.114100e-01
2013 2 11460 2.757900e-01
2013 2 11464 4.310900e-01
2013 2 11466 7.666000e-02
2013 2 11470 4.634100e-01
2013 2 11472 3.374100e-01
2013 2 11474 2.682600e-01
2013 2 11476 1.718400e-01
2013 2 11478 5.872000e-01
2013 2 11482 6.231400e-01
2013 2 11484 5.866500e-01
2013 2 11486 5.774200e-01
2013 2 11488 3.980500e-01
2013 2 11492 2.381800e-01
2013 2 11494 3.059900e-01
2013 2 11496 7.159700e-01
2013 2 11500 1.533100e-01
2013 2 11502 2.242400e-01
2013 2 11504 1.490000e-01
2013 2 11506 1.624200e-01
2013 2 11508 6.354500e-01
2013 2 11512 4.302000e-01
2013 2 11514 2.271900e-01
2013 2 11516 3.411300e-01
2013 2 11518 4.391500e-01
2013 2 11520 4.465400e-01
2013 2 11522 2.640300e-01
2013 2 11526 6.814000e-02
2013 2 11528 6.763400e-01
2013 2 11530 3.999400e-01
2013 2 11532 3.770100e-01
2013 2 11536 9.436000e-02
2013 2 11538 5.686400e-01
2013 2 11540 2.473500e-01
2013 2 11544 3.660000e-01
2013 2 11546 2.203800e-01
2013 2 11548 9.038000e-02
2013 2 11550 2.424000e-01
2013 2 11552 3.516900e-01
2013 2 11554 4.346100e-01
2013 2 11556 4.058000e-01
2013 2 11558 4.747000e-01
2013 2 11560 4.030100e-01
2013 2 11562 2.724100e-01
2013 2 11564 8.126000e-02
2013 2 11566 4.685500e-01
2013 2 11568 8.807000e-01
2013 2 11570 4.195100e-01
2013 2 11572 5.840200e-01
2013 2 11574 4.146300e-01
2013 2 11576 2.730500e-01
2013 2 11578 1.492500e-01
2013 2 11580 4.622000e-02
2013 2 11582 2.966500e-01
2013 2 11584 4.886000e-02
2013 2 11586 2.788100e-01
2013 2 11588 7.108200e-01
2013 2 11590 3.164300e-01
2013 2 11594 5.096100e-01
2013 2 11602 2.741200e-01
2013 2 11604 4.032700e-01
2013 2 11606 4.090900e-01
2013 2 11608 2.413000e-01
2013 2 11610 4.543600e-01
2013 2 11612 4.229100e-01
2013 2 11614 1.955500e-01
2013 2 11616 5.476200e-01
2013 2 11618 4.261200e-01
2013 2 11620 3.637700e-01
2013 2 11622 2.144500e-01
2013 2 11624 8.252000e-02
2013 2 11626 3.078800e-01
2013 3 11634 4.337300e-01
2013 3 11636 1.780500e-01
2013 3 11640 5.351000e-01
2013 3 11642 7.831200e-01
2013 3 11644 7.742700e-01
2013 3 11646 1.582300e-01
2013 3 11648 1.380800e-01
2013 3 11650 2.500700e-01
2013 3 11652 2.558500e-01
2013 3 11654 3.161400e-01
