N	 H	time	cur1	cur2	cur3	cur4	cur5	cur6	cur7	cur8	cur9	cur10	cur11	cur12	cur13	cur14	cur15	cur16	cur17	cur18	cur19	cur20	cur21	cur22	cur23	cur24	cur25	cur26	cur27	cur28	cur29	cur30	cur31	cur32	cur33	cur34	cur35	cur36	cur37	cur38	cur39	cur40	cur41	cur42	cur43	cur44	cur45	cur46	cur47	cur48	cur49	cur50	cur51	cur52	cur53	cur54	cur55	cur56	cur57	cur58	cur59	cur60	cur61	cur62	cur63	cur64	cur65	cur66	cur67	cur68	cur69	cur70	cur71	cur72	cur73	cur74	cur75	cur76	cur77	cur78	cur79	cur80	cur81	cur82	cur83	cur84	cur85	cur86	cur87	cur88	cur89	cur90	cur91	cur92	cur93	cur94	cur95	cur96	cur97	cur98	cur99	cur100	cur101	cur102	cur103	cur104	cur105	cur106	cur107	cur108	cur109	cur110	cur111	cur112
11936	467.40	14:26:04	  3.0	  5.5	  3.4	  2.8	  6.6	  4.2	  6.8	  8.1	  6.4	  4.1	 17.1	  6.5	  7.9	  7.8	  7.3	  6.4	  6.8	  5.5	 15.5	  7.7	  3.0	  4.9	  8.3	  5.1	  6.8	  4.2	  5.3	  5.1	  2.9	  5.2	  5.4	  4.9	  7.9	  3.6	  9.4	  4.8	  3.2	  4.1	  4.5	  8.0	  7.8	  6.9	  5.5	  9.7	  5.7	  7.4	  9.4	  5.1	  7.1	 14.2	  5.6	  6.8	  2.7	  5.0	  4.6	  3.4	  9.1	  5.6	  5.0	  5.5	  5.1	  6.0	  5.3	  4.0	  4.3	  3.9	  4.5	  5.9	  4.4	  4.0	  9.9	  6.4	 11.8	  6.2	 11.6	  5.0	 16.8	 13.7	 12.8	 13.6	  3.5	 12.0	  7.4	 13.7	 13.0	 11.0	 11.1	  7.4	 13.1	  5.9	 10.4	  3.2	  6.6	  8.1	  3.2	  5.1	  2.0	  2.4	  5.3	  2.5	  1.9	  3.9	  2.1	  2.7	 11.9	  3.5	  2.2	  6.8	  2.4	  0.0	  0.0	  0.0
11937	467.40	14:26:04	  3.0	  5.5	  3.4	  2.8	  6.6	  4.2	  6.8	  8.1	  6.4	  4.1	 17.1	  6.5	  7.9	  7.8	  7.3	  6.4	  6.8	  5.5	 15.5	  7.7	  3.0	  4.9	  8.3	  5.1	  6.8	  4.2	  5.3	  5.1	  2.9	  5.2	  5.4	  4.9	  7.9	  3.6	  9.4	  4.8	  3.2	  4.1	  4.5	  8.0	  7.8	  6.9	  5.5	  9.7	  5.7	  7.4	  9.4	  5.1	  7.1	 14.2	  5.6	  6.8	  2.7	  5.0	  4.6	  3.4	  9.1	  5.6	  5.0	  5.5	  5.1	  6.0	  5.3	  4.0	  4.3	  3.9	  4.5	  5.9	  4.4	  4.0	  9.9	  6.4	 11.8	  6.2	 11.6	  5.0	 16.8	 13.7	 12.8	 13.6	  3.5	 12.0	  7.4	 13.7	 13.0	 11.0	 11.1	  7.4	 13.1	  5.9	 10.4	  3.2	  6.6	  8.1	  3.2	  5.1	  2.0	  2.4	  5.3	  2.5	  1.9	  3.9	  2.1	  2.7	 11.9	  3.5	  2.2	  6.8	  2.4	  0.0	  0.0	  0.0
11938	467.80	14:39:10	  3.3	  6.1	  4.2	  3.2	  7.5	  4.7	  7.8	  8.9	  7.0	  4.5	 19.1	  7.1	  9.0	  8.8	  8.1	  7.1	  7.4	  5.9	 17.5	  8.5	  3.2	  5.5	  9.3	  5.7	  7.6	  4.7	  5.8	  5.7	  3.3	  5.8	  6.0	  5.4	  8.6	  3.9	 10.9	  5.4	  3.7	  4.5	  5.2	  8.8	  9.1	  7.7	  6.2	 11.0	  6.6	  8.4	 10.7	  5.9	  8.1	 16.1	  6.2	  7.8	  3.0	  5.4	  5.1	  4.0	 10.1	  6.1	  5.5	  6.2	  5.6	  6.8	  6.5	  4.5	  4.8	  4.4	  5.0	  6.7	  5.0	  4.4	 11.2	  7.5	 13.4	  7.1	 13.0	  5.8	 19.1	 15.8	 14.5	 15.2	  3.9	 13.2	  8.3	 15.3	 14.3	 12.6	 12.2	  8.2	 14.6	  6.6	 12.0	  3.5	  7.5	  9.3	  3.6	  5.8	  2.2	  2.6	  5.9	  2.7	  2.5	  4.3	  2.3	  3.0	 13.2	  3.8	  2.5	  7.6	  2.7	  0.0	  0.0	  0.0
11939	467.80	14:39:10	  3.3	  6.1	  4.2	  3.2	  7.5	  4.7	  7.8	  8.9	  7.0	  4.5	 19.1	  7.1	  9.0	  8.8	  8.1	  7.1	  7.4	  5.9	 17.5	  8.5	  3.2	  5.5	  9.3	  5.7	  7.6	  4.7	  5.8	  5.7	  3.3	  5.8	  6.0	  5.4	  8.6	  3.9	 10.9	  5.4	  3.7	  4.5	  5.2	  8.8	  9.1	  7.7	  6.2	 11.0	  6.6	  8.4	 10.7	  5.9	  8.1	 16.1	  6.2	  7.8	  3.0	  5.4	  5.1	  4.0	 10.1	  6.1	  5.5	  6.2	  5.6	  6.8	  6.5	  4.5	  4.8	  4.4	  5.0	  6.7	  5.0	  4.4	 11.2	  7.5	 13.4	  7.1	 13.0	  5.8	 19.1	 15.8	 14.5	 15.2	  3.9	 13.2	  8.3	 15.3	 14.3	 12.6	 12.2	  8.2	 14.6	  6.6	 12.0	  3.5	  7.5	  9.3	  3.6	  5.8	  2.2	  2.6	  5.9	  2.7	  2.5	  4.3	  2.3	  3.0	 13.2	  3.8	  2.5	  7.6	  2.7	  0.0	  0.0	  0.0
11940	476.00	14:48:31	  3.3	  6.0	  4.4	  3.2	  7.3	  4.6	  7.7	  8.7	  6.8	  4.5	 18.8	  7.0	  8.9	  8.7	  8.1	  6.9	  7.4	  5.9	 17.1	  8.4	  3.2	  5.5	  9.2	  5.6	  7.4	  4.7	  5.8	  5.6	  3.4	  5.7	  5.9	  5.3	  8.4	  3.9	 10.7	  5.3	  3.6	  4.4	  5.2	  8.5	  9.0	  7.6	  6.2	 10.9	  6.6	  8.2	 10.6	  5.8	  8.0	 15.8	  6.2	  7.6	  3.0	  5.4	  5.0	  4.1	  9.9	  5.9	  5.3	  6.1	  5.5	  6.6	  6.4	  4.4	  4.7	  4.4	  4.9	  6.5	  4.9	  4.4	 11.1	  7.6	 13.2	  7.0	 12.8	  5.8	 18.9	 15.6	 14.2	 15.0	  3.8	 12.9	  8.2	 15.1	 13.9	 12.5	 11.8	  8.1	 14.4	  6.5	 11.7	  3.4	  7.3	  9.1	  3.6	  5.7	  2.2	  2.6	  5.8	  2.7	  2.5	  4.2	  2.2	  3.0	 12.9	  3.7	  2.5	  7.5	  2.6	  0.0	  0.0	  0.0
11941	476.00	14:48:31	  3.3	  6.0	  4.4	  3.2	  7.3	  4.6	  7.7	  8.7	  6.8	  4.5	 18.8	  7.0	  8.9	  8.7	  8.1	  6.9	  7.4	  5.9	 17.1	  8.4	  3.2	  5.5	  9.2	  5.6	  7.4	  4.7	  5.8	  5.6	  3.4	  5.7	  5.9	  5.3	  8.4	  3.9	 10.7	  5.3	  3.6	  4.4	  5.2	  8.5	  9.0	  7.6	  6.2	 10.9	  6.6	  8.2	 10.6	  5.8	  8.0	 15.8	  6.2	  7.6	  3.0	  5.4	  5.0	  4.1	  9.9	  5.9	  5.3	  6.1	  5.5	  6.6	  6.4	  4.4	  4.7	  4.4	  4.9	  6.5	  4.9	  4.4	 11.1	  7.6	 13.2	  7.0	 12.8	  5.8	 18.9	 15.6	 14.2	 15.0	  3.8	 12.9	  8.2	 15.1	 13.9	 12.5	 11.8	  8.1	 14.4	  6.5	 11.7	  3.4	  7.3	  9.1	  3.6	  5.7	  2.2	  2.6	  5.8	  2.7	  2.5	  4.2	  2.2	  3.0	 12.9	  3.7	  2.5	  7.5	  2.6	  0.0	  0.0	  0.0
11942	547.60	14:50:37	  3.4	  6.0	  4.4	  3.1	  7.3	  4.6	  7.7	  8.6	  6.8	  4.5	 18.8	  7.0	  8.9	  8.8	  8.1	  7.0	  7.7	  5.8	 17.1	  8.4	  3.2	  5.5	  9.2	  5.6	  7.4	  4.7	  5.8	  5.6	  3.4	  5.8	  5.9	  5.3	  8.4	  3.8	 10.7	  5.3	  3.6	  4.4	  5.2	  8.5	  8.9	  7.6	  6.1	 10.8	  6.6	  8.2	 10.6	  5.8	  8.0	 15.9	  6.2	  7.6	  3.0	  5.4	  5.0	  4.2	  9.9	  5.9	  5.3	  6.2	  5.5	  6.6	  6.4	  4.4	  4.7	  4.3	  4.9	  6.5	  4.9	  4.3	 11.0	  7.5	 13.1	  6.9	 12.7	  5.8	 18.9	 15.6	 14.3	 14.9	  3.8	 12.9	  8.2	 15.1	 13.9	 12.5	 11.8	  8.1	 14.3	  6.5	 11.7	  3.4	  7.3	  9.1	  3.6	  5.7	  2.2	  2.6	  5.8	  2.7	  2.5	  4.2	  2.2	  2.9	 12.9	  3.7	  2.5	  7.5	  2.6	  0.0	  0.0	  0.0
11943	547.60	14:50:37	  3.4	  6.0	  4.4	  3.1	  7.3	  4.6	  7.7	  8.6	  6.8	  4.5	 18.8	  7.0	  8.9	  8.8	  8.1	  7.0	  7.7	  5.8	 17.1	  8.4	  3.2	  5.5	  9.2	  5.6	  7.4	  4.7	  5.8	  5.6	  3.4	  5.8	  5.9	  5.3	  8.4	  3.8	 10.7	  5.3	  3.6	  4.4	  5.2	  8.5	  8.9	  7.6	  6.1	 10.8	  6.6	  8.2	 10.6	  5.8	  8.0	 15.9	  6.2	  7.6	  3.0	  5.4	  5.0	  4.2	  9.9	  5.9	  5.3	  6.2	  5.5	  6.6	  6.4	  4.4	  4.7	  4.3	  4.9	  6.5	  4.9	  4.3	 11.0	  7.5	 13.1	  6.9	 12.7	  5.8	 18.9	 15.6	 14.3	 14.9	  3.8	 12.9	  8.2	 15.1	 13.9	 12.5	 11.8	  8.1	 14.3	  6.5	 11.7	  3.4	  7.3	  9.1	  3.6	  5.7	  2.2	  2.6	  5.8	  2.7	  2.5	  4.2	  2.2	  2.9	 12.9	  3.7	  2.5	  7.5	  2.6	  0.0	  0.0	  0.0
11944	602.20	14:55:23	  3.3	  5.9	  4.4	  3.1	  7.2	  4.5	  7.7	  8.4	  6.8	  4.6	 18.5	  6.9	  8.8	  8.6	  8.0	  6.9	  7.8	  5.8	 16.9	  8.3	  3.2	  5.5	  9.1	  5.5	  7.3	  4.6	  5.7	  5.5	  3.3	  5.7	  5.8	  5.2	  8.3	  3.8	 10.7	  5.3	  3.7	  4.4	  5.1	  8.4	  8.8	  7.5	  6.1	 10.7	  6.5	  8.1	 10.3	  5.7	  7.9	 15.6	  6.1	  7.5	  3.0	  5.3	  5.0	  4.2	  9.7	  5.8	  5.3	  6.2	  5.4	  6.6	  6.5	  4.4	  4.6	  4.3	  4.8	  6.4	  4.9	  4.3	 10.8	  7.4	 12.9	  6.8	 12.5	  5.7	 18.6	 15.4	 14.1	 14.6	  3.8	 12.6	  8.1	 15.0	 13.6	 12.4	 11.7	  8.1	 14.2	  6.5	 11.7	  3.4	  7.2	  9.0	  3.5	  5.6	  2.2	  2.6	  5.7	  2.6	  2.5	  4.2	  2.2	  2.9	 12.6	  3.7	  2.5	  7.4	  2.6	  0.0	  0.0	  0.0
11945	602.20	14:55:23	  3.3	  5.9	  4.4	  3.1	  7.2	  4.5	  7.7	  8.4	  6.8	  4.6	 18.5	  6.9	  8.8	  8.6	  8.0	  6.9	  7.8	  5.8	 16.9	  8.3	  3.2	  5.5	  9.1	  5.5	  7.3	  4.6	  5.7	  5.5	  3.3	  5.7	  5.8	  5.2	  8.3	  3.8	 10.7	  5.3	  3.7	  4.4	  5.1	  8.4	  8.8	  7.5	  6.1	 10.7	  6.5	  8.1	 10.3	  5.7	  7.9	 15.6	  6.1	  7.5	  3.0	  5.3	  5.0	  4.2	  9.7	  5.8	  5.3	  6.2	  5.4	  6.6	  6.5	  4.4	  4.6	  4.3	  4.8	  6.4	  4.9	  4.3	 10.8	  7.4	 12.9	  6.8	 12.5	  5.7	 18.6	 15.4	 14.1	 14.6	  3.8	 12.6	  8.1	 15.0	 13.6	 12.4	 11.7	  8.1	 14.2	  6.5	 11.7	  3.4	  7.2	  9.0	  3.5	  5.6	  2.2	  2.6	  5.7	  2.6	  2.5	  4.2	  2.2	  2.9	 12.6	  3.7	  2.5	  7.4	  2.6	  0.0	  0.0	  0.0
