N,kod,T,HV1,HV10
1756,107,-14.4,-97.7,-1032.0
1757,107,-14.4,-97.7,-1032.0
1758,107,-14.4,-97.7,-1032.0
1759,107,-14.4,-97.7,-1032.0
1760,107,-14.4,-97.7,-1032.0
1761,107,-14.4,-97.7,-1032.0
1762,107,-14.4,-97.7,-1032.0
1763,107,-14.4,-97.7,-1032.0
1764,107,-14.4,-97.7,-1032.0
1765,107,-14.4,-97.7,-1032.0
1766,107,-14.4,-97.7,-1032.0
1767,107,-14.4,-97.7,-1032.0
1768,107,-14.4,-97.7,-1032.0
1769,107,-14.4,-97.7,-1032.0
1770,107,-14.4,-97.7,-1032.0
1771,107,-14.4,-97.7,-1032.0
1772,107,-14.4,-97.7,-1032.0
1773,107,-14.3,-97.4,-1028.0
1774,107,-14.3,-97.4,-1028.0
1775,107,-14.3,-97.4,-1028.0
1776,107,-14.3,-97.4,-1028.0
1777,107,-14.3,-97.4,-1028.0
1778,107,-14.3,-97.4,-1028.0
1779,107,-14.3,-97.4,-1028.0
1780,107,-14.3,-97.4,-1028.0
1781,107,-14.3,-97.4,-1028.0
1782,107,-14.3,-97.4,-1028.0
1783,107,-14.3,-97.4,-1028.0
1784,107,-14.3,-97.4,-1028.0
1785,107,-14.3,-97.4,-1028.0
1786,107,-14.3,-97.4,-1028.0
1787,107,-14.3,-97.4,-1028.0
1788,107,-14.3,-97.4,-1028.0
1789,107,-14.3,-97.4,-1028.0
1790,107,-14.3,-97.4,-1028.0
1791,107,-14.3,-97.4,-1028.0
1792,107,-14.3,-97.4,-1028.0
1793,107,-14.3,-97.4,-1028.0
1794,107,-14.3,-97.4,-1028.0
1795,107,-14.3,-97.4,-1028.0
1796,107,-14.3,-97.4,-1028.0
1797,107,-14.3,-97.4,-1028.0
1798,107,-14.3,-97.4,-1028.0
1799,107,-14.3,-97.4,-1028.0
1800,107,-14.3,-97.4,-1028.0
1801,107,-14.3,-97.4,-1028.0
1802,107,-14.3,-97.4,-1028.0
1803,107,-14.3,-97.4,-1028.0
1804,107,-14.3,-97.4,-1028.0
1805,107,-14.3,-97.4,-1028.0
1806,107,-14.3,-97.4,-1028.0
1807,107,-14.3,-97.4,-1028.0
1808,107,-14.3,-97.4,-1028.0
1809,107,-14.3,-97.4,-1028.0
1810,107,-14.3,-97.4,-1028.0
1811,107,-14.3,-97.4,-1028.0
1812,107,-14.3,-97.4,-1028.0
1813,107,-14.3,-97.4,-1028.0
1814,107,-14.3,-97.4,-1028.0
1815,107,-14.2,-97.3,-1027.6
1816,107,-14.2,-97.3,-1027.6
1817,107,-14.2,-97.3,-1027.6
1818,107,-14.2,-97.3,-1027.6
1819,107,-14.2,-97.3,-1027.6
1820,107,-14.2,-97.3,-1027.6
1821,107,-14.2,-97.3,-1027.6
1822,107,-14.2,-97.3,-1027.6
1823,107,-14.2,-97.3,-1027.6
1824,107,-14.2,-97.3,-1027.6
1825,107,-14.2,-97.3,-1027.6
1826,107,-14.2,-97.3,-1027.6
1827,107,-14.2,-97.3,-1027.6
1828,107,-14.2,-97.3,-1027.6
1829,107,-14.2,-97.3,-1027.6
1830,107,-14.2,-97.3,-1027.6
1831,107,-14.2,-97.3,-1027.6
1832,107,-14.2,-97.3,-1027.6
1833,107,-14.2,-97.3,-1027.6
1834,107,-14.2,-97.3,-1027.6
1835,107,-14.2,-97.3,-1027.6
1836,107,-14.2,-97.3,-1027.6
1837,107,-14.2,-97.3,-1027.6
1838,107,-14.2,-97.3,-1027.6
1839,107,-14.2,-97.3,-1027.6
1840,107,-14.2,-97.3,-1027.6
1841,107,-14.2,-97.3,-1027.6
1842,107,-14.2,-97.3,-1027.6
1843,107,-14.2,-97.3,-1027.6
1844,107,-14.2,-97.3,-1027.6
1845,107,-14.2,-97.3,-1027.6
1846,107,-14.2,-97.3,-1027.6
1847,107,-14.2,-97.3,-1027.6
1848,107,-14.2,-97.3,-1027.6
1849,107,-14.2,-97.3,-1027.6
1850,107,-14.2,-97.3,-1027.6
1851,107,-14.2,-97.3,-1027.6
1852,107,-14.2,-97.3,-1027.6
1853,107,-14.2,-97.3,-1027.6
1854,107,-14.2,-97.3,-1027.6
1855,107,-14.2,-97.3,-1027.6
1856,107,-14.2,-97.3,-1027.6
1857,107,-14.2,-97.3,-1027.6
1858,107,-14.2,-97.3,-1027.6
1859,107,-14.2,-97.3,-1027.6
1860,107,-14.2,-97.3,-1027.6
1861,107,-14.2,-97.3,-1027.6
1862,107,-14.2,-97.3,-1027.6
