date	time	N	E	H	H-455	compass	P_hpa0	T0,C	P_hpa1	T1,C	dP,kpa	U15,V	U5,V	Uac,V	I,A	Tpow,C	Tmos,C	Bot,C	Top,C
11	121429	5147.8068	10423.3223	 538.1	  83.1	1702	  970.4	 23.8	  968.0	-11.7	257.56	14.99	5.15	18.79	2.31	27.50	-9.50	14.0	20.0	1
11	121529	5147.8052	10423.3184	 537.8	  82.8	1707	  970.4	 23.7	  968.1	-11.7	254.82	14.98	5.15	18.79	2.33	27.25	-9.25	13.8	20.0	2
11	121629	5147.8048	10423.3214	 537.1	  82.1	1612	  970.5	 23.6	  968.2	-11.7	268.52	14.98	5.16	18.79	2.34	27.75	-9.25	13.8	20.1	3
11	121729	5147.8058	10423.3197	 538.2	  83.2	1669	  970.5	 23.5	  968.2	-11.7	263.04	14.98	5.15	18.80	2.31	27.25	-9.25	13.6	20.0	4
11	121829	5147.8057	10423.3201	 537.6	  82.6	1671	  970.5	 23.5	  968.2	-11.7	252.08	14.98	5.15	18.79	2.33	27.75	-9.25	13.6	20.0	5
11	121929	5147.8099	10423.3201	 539.1	  84.1	1909	  970.2	 23.5	  968.1	-11.7	246.60	14.98	5.15	18.79	2.31	27.50	-9.50	13.5	20.0	6
11	122029	5147.8062	10423.3235	 537.6	  82.6	1774	  970.5	 23.5	  968.1	-11.7	257.56	14.98	5.15	18.79	2.33	27.25	-9.25	13.4	20.0	7
11	122129	5147.8077	10423.3276	 538.1	  83.1	1649	  970.6	 23.5	  968.3	-11.7	246.60	14.98	5.15	18.80	2.36	27.50	-9.50	13.3	19.9	8
11	122229	5147.8066	10423.3222	 547.9	  92.9	1633	  969.5	 23.5	  967.1	-11.7	268.52	14.98	5.15	18.80	2.31	27.00	-9.25	13.1	19.9	9
11	122329	5147.8084	10423.3232	 559.9	 104.9	1600	  967.7	 23.4	  965.5	-11.7	271.26	14.98	5.15	18.80	2.34	27.25	-9.50	12.9	20.0	10
11	122429	5147.8048	10423.3233	 568.6	 113.6	1610	  966.6	 23.4	  964.5	-11.8	279.48	14.98	5.15	18.80	2.31	27.00	-9.25	12.8	20.0	11
11	122529	5147.8002	10423.3171	 575.5	 120.5	1642	  965.7	 23.4	  963.7	-11.8	284.96	14.98	5.15	18.80	2.33	27.25	-9.50	12.8	20.0	12
11	122629	5147.8031	10423.3233	 592.0	 137.0	1656	  963.7	 23.3	  961.5	-11.8	301.40	14.98	5.15	18.80	2.33	27.25	-9.75	12.6	20.0	13
11	122729	5147.7996	10423.3240	 595.2	 140.2	1610	  963.8	 23.3	  961.4	-11.9	301.40	14.98	5.15	18.80	2.31	27.25	-9.50	12.6	20.0	14
11	122829	5147.8003	10423.3251	 598.2	 143.2	1596	  963.0	 23.3	  960.7	-11.9	306.88	14.98	5.16	18.80	2.33	26.75	-9.75	12.5	20.0	15
11	122929	5147.7984	10423.3214	 606.4	 151.4	1658	  961.7	 23.3	  959.5	-12.0	306.88	14.98	5.15	18.80	2.31	26.75	BaseAddr	12.5	20.0	16
11	123029	5147.7974	10423.3238	 616.8	 161.8	1653	  960.2	 23.3	  958.2	-12.0	320.58	14.98	5.15	18.79	2.34	26.75	-9.50	12.4	20.0	17
11	123129	5147.7968	10423.3225	 623.6	 168.6	1617	  959.1	 23.3	  956.9	-12.1	331.54	14.98	5.15	18.80	2.31	26.75	-9.75	12.3	20.0	18
11	123229	5147.7964	10423.3228	 641.4	 186.4	1627	  957.8	 23.2	  955.7	-12.1	339.76	14.98	5.15	18.80	2.34	27.00	-9.75	12.2	19.9	19
11	123329	5147.7963	10423.3223	 650.4	 195.4	1641	  956.9	 23.2	  954.8	-12.2	345.24	14.98	5.15	18.79	2.34	26.75	-9.75	12.0	20.0	20
