Num,t_minutes,h_GPS,h_barometric
1,0,458.9,460.814521087947
2,0.983333333333348,459.1,460.378020315992
3,2,459.7,472.593505044127
4,3,460.8,482.925350363331
5,4,462.3,497.248392545308
6,5,466.8,509.087467640252
7,6,470.7,522.068435971819
8,7,473.6,541.129227909282
9,8,475.8,551.558573193581
10,9,491.2,556.158515589008
11,10,502.2,555.640146543698
12,11,506.8,553.739183216424
13,12,510.2,551.573493778447
14,13,512.6,552.442822367864
15,14,514,555.299912532709
16,15,518.3,554.171258540994
17,16,522.1,555.645545822745
18,17,525.1,555.208147625419
19,18,526.8,553.307085414272
20,19,527.6,557.638265295566
21,20,528.6,565.740052170566
22,21,531.3,578.1173977815
23,22,545.1,596.01603097567
24,23,562.5,612.647298357927
25,24,580.7,628.424846369222
26,25,598,647.144267525897
27,26,613,667.72382204538
28,27,625.2,669.314078861891
29,28,630.2,668.000335502345
30,29,633.2,670.178296946118
31,30,634.3,670.627893322385
32,31,635,669.037440367073
33,32,635.7,671.232823951544
34,33,636.5,671.509681103881
35,34,637.2,667.758259676524
36,35,638,671.077560821807
37,36,638.8,668.899277291172
38,37,639.6,669.746199143965
39,38,640.3,669.781065072668
40,39,641.1,671.941778906033
41,40,641.9,669.763630275978
42,41,642.6,670.455047907278
43,42,643.2,669.815945664702
44,43,644.4,673.326965780267
45,44,650.1,680.147580195869
46,45,662.6,689.655854067092
47,46,671.1,699.797056596454
48,47,676.6,711.287333885297
49,48,689,719.288478874476
50,49,709.1,734.184260805527
51,50,726.9,743.582348783064
52,51,747,754.033541068396
53,52,756.3,766.748637132686
54,53,763.8,779.019378560552
55,54,770.8,778.990264697108
56,55,770.8,778.616153377679
57,56,770.7,779.913121500028
58,57,770.5,781.066329942368
59,58,770.4,780.547583195035
60,59,770.4,779.971560098528
61,60,770.2,781.700895936546
62,61,770.1,778.76000113713
63,62,770.1,779.854707639035
64,63,770,782.765738701135
65,64,770,784.98564241235
66,65,770,783.400289462963
67,66,770,781.612707405057
68,67,770,780.719060623842
69,68,769.9,783.629974769672
70,69,769.8,782.909068253617
71,70,769.6,781.842585048981
72,71,769.5,780.719060623842
73,72,769.5,786.082384099045
74,73,770.1,797.714812609535
75,74,771,806.933221670808
76,75,772.2,820.562902481554
77,76,773.9,830.617967426324
78,77,777.1,835.267516690629
79,78,780.4,832.605493250296
80,79,783.2,831.741410024551
81,80,785.4,830.272262208023
82,81,786.7,831.516933821488
83,82,787.6,830.617967426324
84,83,788.5,830.082208021546
85,84,789.4,830.012973851421
86,85,790.3,829.753677400362
87,86,791.1,828.284177924688
88,87,792,829.978367788136
89,88,792.8,830.237629166868
90,89,793.7,830.877236897828
91,90,794.5,831.741410024551
92,91,795.3,831.084800050339
93,92,796.2,829.788263825549
94,93,797,827.419645006916
95,94,797.7,828.059233978657
96,95,798.4,826.555022094565
97,96,799,826.520775897224
98,97,799.6,828.975739475398
99,98,800.4,828.284177924688
100,99,800.9,828.249751756922
101,100,801.6,827.091656475419
102,101,802.2,829.148620866615
103,102,803,836.343077791088
104,103,804.1,850.824450782657
105,104,808.5,857.433991206274
106,105,815.2,870.381779269699
107,106,824.1,877.872384914589
108,107,830.6,879.328873695366
109,108,834.5,880.545625773071
110,109,836.4,880.585729524116
111,110,837.7,882.614133017501
112,111,838.6,878.816649913373
113,112,839.5,879.036076964309
114,113,840.5,880.113415547919
115,114,841.3,879.681182831145
116,115,843,878.031703021968
117,116,844.2,877.991860768324
118,117,845.3,876.143229084466
119,118,846.2,877.306975129246
120,119,847.3,880.625841817716
121,120,848.1,877.952027001022
122,121,848.9,878.344479424385
123,122,849.8,877.346737405568
124,123,850.7,879.288896400661
125,124,851.3,877.912201717347
126,125,852.4,877.952027001022
127,126,853.2,880.585729524116
128,127,853.8,883.813108070882
129,128,855.8,892.737444299792
130,129,861.5,903.748967521482
131,130,868.2,911.399076374029
132,131,876.4,921.392624202517
133,132,883.7,929.714538421819
134,133,890.7,935.73115744148
135,134,895.9,931.489547802999
136,135,898.9,934.734219369249
137,136,901.7,934.083146575048
