date	time	N	E	H	H-455	compass	P_hpa0	T0,C	P_hpa1	T1,C	dP,kpa	U15,V	U5,V	Uac,V	I,A	Tpow,C	Tmos,C	Bot,C	Top,C	NUM	Clin1	Clin2	ClinTh	Num
15	113610	5147.8094	10423.3357	 450.1	  -4.9	3253	  964.4	 25.4	  962.5	 -7.6	5.48	14.98	5.15	18.74	2.60	29.25	-3.50	18.9	22.0	1	-1.4	1.1	1.8	1
15	113710	5147.8094	10423.3358	 450.3	  -4.7	3246	  964.1	 24.6	  962.4	 -7.6	8.22	14.98	5.16	18.74	2.60	28.75	-3.50	19.4	22.0	2	-1.4	1.1	1.8	2
15	113810	5147.8094	10423.3358	 450.5	  -4.5	3242	  963.9	 24.0	  962.4	 -7.6	2.74	14.98	5.16	18.74	2.65	28.75	-3.75	19.8	22.1	3	-1.4	1.1	1.8	3
15	113910	5147.8094	10423.3358	 450.6	  -4.4	3250	  963.7	 23.6	  962.3	 -7.6	5.48	14.98	5.16	18.75	2.60	28.50	-3.75	20.1	22.1	4	-1.4	1.1	1.8	4
15	114010	5147.8094	10423.3357	 450.7	  -4.3	3250	  963.8	 23.3	  962.3	 -7.6	2.74	14.98	5.15	18.75	2.59	28.75	-3.75	20.4	22.2	5	-1.4	1.1	1.8	5
15	114110	5147.8095	10423.3357	 450.8	  -4.2	3251	  964.0	 23.1	  962.2	 -7.6	2.74	14.98	5.16	18.74	2.64	28.50	-4.00	20.5	22.4	6	-1.4	1.1	1.8	6
15	114210	5147.8095	10423.3356	 450.9	  -4.1	3246	  964.0	 23.0	  962.2	 -7.5	5.48	14.98	5.15	18.75	2.62	28.25	-4.00	20.7	22.4	7	-1.4	1.1	1.8	7
15	114310	5147.8096	10423.3356	 450.8	  -4.2	3251	  963.9	 22.9	  962.1	 -7.5	5.48	14.98	5.16	18.74	2.60	28.25	-4.00	20.9	22.5	8	-1.4	1.1	1.8	8
15	114410	5147.8095	10423.3355	 450.7	  -4.3	3251	  964.0	 22.8	  962.0	 -7.5	2.74	14.98	5.16	18.74	2.65	28.25	-4.00	21.0	22.6	9	-1.4	1.1	1.8	9
15	114510	5147.8095	10423.3355	 450.6	  -4.4	3240	  964.0	 22.8	  961.8	 -7.6	2.74	14.98	5.16	18.74	2.59	28.00	-4.00	21.1	22.7	10	-1.4	1.1	1.8	10
15	114610	5147.8094	10423.3354	 450.5	  -4.5	3247	  964.0	 22.8	  962.0	 -7.5	5.48	14.98	5.15	18.75	2.62	28.25	-4.00	21.3	22.8	11	-1.4	1.1	1.8	11
15	114710	5147.8093	10423.3353	 450.5	  -4.5	3255	  964.1	 22.8	  962.1	 -7.6	2.74	14.98	5.16	18.74	2.62	27.75	-4.00	21.2	22.8	12	-1.4	1.1	1.8	12
15	114810	5147.8092	10423.3353	 450.6	  -4.4	3250	  963.9	 22.8	  962.2	 -7.6	5.48	14.98	5.15	18.75	2.64	28.00	-4.25	21.3	22.8	13	-1.4	1.1	1.8	13
15	114910	5147.8091	10423.3352	 450.7	  -4.3	3250	  963.9	 22.8	  961.9	 -7.8	5.48	14.98	5.15	18.75	2.60	28.00	-3.75	21.4	22.9	14	-1.4	1.1	1.8	14
15	115010	5147.8091	10423.3352	 450.8	  -4.2	3255	  963.8	 22.8	  961.9	 -7.9	5.48	14.99	5.15	18.74	2.64	27.75	-4.00	21.5	23.0	15	-1.4	1.1	1.8	15
15	115110	5147.8090	10423.3352	 450.8	  -4.2	3250	  963.8	 22.9	  961.8	 -8.0	2.74	14.98	5.15	18.75	2.59	27.75	-4.50	21.5	23.0	16	-1.4	1.1	1.8	16
15	115210	5147.8088	10423.3352	 450.8	  -4.2	3246	  963.8	 22.9	  961.8	 -8.1	5.48	14.98	5.16	18.75	2.62	28.00	-4.00	21.5	23.1	17	-1.4	1.1	1.8	17
15	115310	5147.8087	10423.3352	 450.7	  -4.3	3243	  963.8	 22.9	  961.9	 -8.1	5.48	14.98	5.16	18.74	2.60	28.00	-4.25	21.5	23.2	18	-1.4	1.1	1.8	18
15	115410	5147.8086	10423.3352	 450.7	  -4.3	3246	  963.7	 22.9	  961.6	 -8.1	2.74	14.98	5.15	18.75	2.70	27.75	-4.25	21.6	23.2	19	-1.4	1.1	1.8	19
15	115510	5147.8084	10423.3352	 450.7	  -4.3	3251	  963.8	 23.0	  961.5	 -8.2	2.74	14.99	5.16	18.75	2.62	27.50	-4.25	21.7	23.2	20	-1.4	1.1	1.8	20
15	115610	5147.8084	10423.3352	 450.7	  -4.3	3250	  963.9	 23.0	  961.6	 -8.2	2.74	14.98	5.15	18.76	2.62	27.50	-4.25	21.6	23.3	21	-1.4	1.1	1.8	21
15	115710	5147.8083	10423.3352	 450.9	  -4.1	3240	  963.9	 23.0	  961.6	 -8.3	2.74	14.98	5.16	18.75	2.57	28.00	-4.25	21.7	23.3	22	-1.4	1.1	1.8	22
15	115810	5147.8083	10423.3353	 451.0	  -4.0	3240	  963.9	 23.0	  961.7	 -8.3	2.74	14.98	5.15	18.75	2.64	28.25	-4.50	21.7	23.4	23	-1.4	1.1	1.8	23
15	115910	5147.8083	10423.3353	 451.1	  -3.9	3250	  964.0	 23.0	  961.6	 -8.3	2.74	14.98	5.15	18.75	2.60	27.75	-4.25	21.8	23.5	24	-1.4	1.1	1.8	24
15	120010	5147.8083	10423.3353	 451.1	  -3.9	3246	  964.0	 23.1	  961.9	 -8.4	0.00	14.98	5.16	18.75	2.60	27.75	-4.50	21.9	23.5	25	-1.4	1.1	1.8	25
15	120110	5147.8082	10423.3353	 451.1	  -3.9	3242	  964.0	 23.1	  961.8	 -8.4	8.22	14.97	5.15	18.75	2.57	27.50	-4.50	21.9	23.6	26	-1.4	1.1	1.8	26
