N,H,t,Clin1,Clin2,Comp
10675,307.80,13:13:07,1.6,-1.6,311
10676,307.80,13:13:07,1.6,-1.6,311
10677,307.80,13:17:59,1.7,-1.6,348
10678,307.80,13:17:59,1.7,-1.6,348
10679,307.60,13:18:13,1.7,-1.5,284
10680,307.60,13:18:13,1.7,-1.5,284
10681,306.30,13:29:40,1.7,-1.4,454
10682,306.30,13:29:40,1.7,-1.4,454
10683,305.90,13:32:42,1.9,-1.3,281
10684,305.90,13:32:42,1.9,-1.3,281
10685,308.10,13:52:02,2.1,-1.2,193
10686,308.10,13:52:02,2.1,-1.2,193
10687,395.80,14:00:43,0.5,-2.6,64
10688,395.80,14:00:43,0.5,-2.6,64
10689,432.00,14:02:10,-0.6,-3.9,3498
10690,432.00,14:02:10,-0.6,-3.9,3498
10691,510.50,14:04:38,1.9,-3.8,102
10692,510.50,14:04:38,1.9,-3.8,102
10693,550.80,14:05:33,2.0,-2.7,234
10694,550.80,14:05:33,2.0,-2.7,234
10695,563.00,14:05:50,1.9,-2.5,397
10696,563.00,14:05:50,1.9,-2.5,397
10697,606.70,14:09:37,2.5,-4.0,719
10698,606.70,14:09:37,2.5,-4.0,719
10699,604.90,14:11:58,2.2,-3.9,744
10700,604.90,14:11:58,2.2,-3.9,744
10701,603.30,14:16:40,2.1,-4.3,730
10702,603.30,14:16:40,2.1,-4.3,730
10703,601.10,14:22:03,2.4,-4.2,645
10704,601.10,14:22:03,2.4,-4.2,645
10705,606.10,14:23:11,2.4,-4.1,686
10706,606.10,14:23:11,2.4,-4.1,686
10707,605.80,14:24:22,2.2,-4.1,717
10708,605.80,14:24:22,2.2,-4.1,717
10709,604.40,14:25:01,2.1,-5.1,664
10710,604.40,14:25:01,2.1,-5.1,664
10711,604.80,14:25:31,2.8,-4.2,652
10712,604.80,14:25:31,2.8,-4.2,652
10713,602.70,14:28:04,2.5,-4.4,747
10714,602.70,14:28:04,2.5,-4.4,747
10715,604.10,14:29:35,2.5,-4.9,700
10716,604.10,14:29:35,2.5,-4.9,700
10717,604.70,14:30:06,2.4,-4.7,637
10718,604.70,14:30:06,2.4,-4.7,637
10719,605.90,14:30:35,1.8,-4.5,739
10720,605.90,14:30:35,1.8,-4.5,739
10721,603.10,14:33:16,1.6,-4.4,711
10722,603.10,14:33:16,1.6,-4.4,711
10723,602.60,14:34:49,1.3,-4.6,659
10724,602.60,14:34:49,1.3,-4.6,659
10725,601.70,14:36:45,1.7,-5.0,791
10726,601.70,14:36:45,1.7,-5.0,791
10727,602.80,14:40:19,2.6,-5.8,620
10728,602.80,14:40:19,2.6,-5.8,620
10729,602.60,14:40:23,2.6,-5.8,643
10730,602.60,14:40:23,2.6,-5.8,643
10731,602.10,14:44:20,2.6,-4.7,695
10732,602.10,14:44:20,2.6,-4.7,695
10733,602.20,14:44:57,2.8,-4.5,629
10734,602.20,14:44:57,2.8,-4.5,629
10735,603.70,14:45:43,1.7,-4.5,717
10736,603.70,14:45:43,1.7,-4.5,717
10737,599.40,14:54:19,1.7,-4.3,732
10738,599.40,14:54:19,1.7,-4.3,732
10739,599.70,14:54:29,2.2,-4.2,651
10740,599.70,14:54:29,2.2,-4.2,651
10741,602.00,15:00:21,2.4,-4.4,589
10742,602.00,15:00:21,2.4,-4.4,589
10743,602.20,15:01:09,1.8,-4.5,674
10744,602.20,15:01:09,1.8,-4.5,674
10745,602.50,15:01:47,1.8,-4.6,667
10746,602.50,15:01:47,1.8,-4.6,667
10747,602.50,15:01:52,2.8,-4.5,568
10748,602.50,15:01:52,2.8,-4.5,568
10749,601.20,15:06:22,1.7,-4.2,686
10750,601.20,15:06:22,1.7,-4.2,686
10751,601.20,15:11:33,2.4,-4.7,625
10752,601.20,15:11:33,2.4,-4.7,625
10753,601.10,15:13:52,2.3,-5.6,628
10754,601.10,15:13:52,2.3,-5.6,628
10755,599.40,15:16:58,2.6,-5.1,583
