EID,I_coef
23001,1.1997726122061056
23003,1.1997726122061056
23005,1.1997726122061056
23007,1.1997726122061056
23009,1.1997726122061056
23011,1.1997726122061056
23013,1.1997726122061056
23015,1.1997726122061056
23017,1.1997726122061056
23019,1.1997726122061056
23021,1.1997726122061056
23023,1.1997726122061056
23025,1.1997726122061056
23027,1.1997726122061056
23029,1.1997726122061056
23031,1.1997726122061056
23033,1.1997726122061056
23035,1.1997726122061056
23037,1.1997726122061056
23041,1.1997726122061056
23043,1.1997726122061056
23045,1.1997726122061056
23047,1.1997726122061056
23049,1.1997726122061056
23051,1.1997726122061056
23053,1.1997726122061056
23055,1.1997726122061056
23057,1.1997726122061056
23059,1.1997726122061056
23061,1.1997726122061056
23063,1.1997726122061056
23065,1.1997726122061056
23067,1.1997726122061056
23069,1.1997726122061056
23071,1.1997726122061056
23073,1.1997726122061056
23075,1.1997726122061056
23077,1.1997726122061056
23079,1.1997726122061056
23081,1.1997726122061056
23083,1.1997726122061056
23085,1.1997726122061056
23087,1.1997726122061056
23089,1.1997726122061056
23091,1.1997726122061056
23093,1.1997726122061056
23095,1.1997726122061056
23097,1.1997726122061056
23099,1.1997726122061056
23101,1.1997726122061056
23103,1.1997726122061056
23105,1.0
23107,1.0
23109,1.0
23111,1.0
23113,1.0
23115,1.0
23117,1.0
23119,1.0
23121,1.0
23123,1.0
23125,1.0
23127,1.0
23129,1.0
23131,1.0
23133,1.0
23135,1.0
23137,1.0
23139,1.0
23141,1.0
23143,1.0
23145,1.0
23147,1.0
23149,1.0
23151,1.0
23153,1.0
23155,1.0
23157,1.0
23159,1.0
23161,1.0
23163,1.0
23167,1.0
23169,1.0
23171,1.0
23173,1.0
23175,1.0
23177,1.0
23179,1.0
23181,1.0
23185,1.0
23187,1.0
23189,1.0
23191,1.0
23193,1.0
23195,1.0
23197,1.0
23199,1.0
23201,1.0
23203,1.0
23205,1.0
23207,1.0
23209,1.0
23211,1.0
23213,1.0
23215,1.0
23217,1.0
23219,1.0
23221,1.0
23223,1.0
23225,1.0
23227,1.0
23229,1.0
23231,1.0
23233,1.0
23235,1.0
23237,1.0
23239,1.0
23241,1.0
23245,1.0
23247,1.0
23251,1.0
23253,1.0
23255,1.0
23257,1.0
23259,1.0
23261,1.0
23265,1.0
23267,1.0
23269,1.0
23273,1.0
23275,1.0
23277,1.0
23279,1.0
23281,1.0
23285,1.0
23287,1.0
23295,1.0
23297,1.0
23301,1.0
23305,1.0
23309,1.0
23311,1.0
23313,1.0
23315,1.0
23317,1.0
23319,1.0
23321,1.0
23323,1.0
23325,1.0
23327,1.0
23329,1.0
23331,1.0
23333,1.0
23335,1.0
23337,1.0
23339,1.0
23341,1.0
23343,1.0
23345,1.0
23349,1.0
23351,1.0
23353,1.0
23355,1.0
23357,1.0
23359,1.0
23361,1.0
23363,1.0
23365,1.0
23367,1.0
23369,1.0
23371,1.0
23373,1.0
23375,1.0
23377,1.0
23379,1.0
23383,1.0
23385,1.0
23387,1.0
23389,1.0
23391,1.0
23393,1.0
23395,1.0
23397,1.0
23399,1.0
23401,1.0
23403,1.0
23407,1.0
23409,1.0
23413,1.0
23415,1.0
23417,1.0
23419,1.0
23421,1.0
23423,1.0
23425,1.0
23427,1.0
23429,1.0
23431,1.0
23433,1.0
23435,1.0
23437,1.0
23439,1.0
23441,1.0
23443,1.0
23445,1.0
23447,1.0
23449,1.0
23451,1.0
23453,1.0
23455,1.0
23457,1.0
23459,1.0
23509,1.0
23511,1.0
23513,1.0
23515,1.0
23517,1.0
23519,1.0
23521,1.0
23523,1.0
23525,1.0
23527,1.0
23529,1.0
23533,1.0
23535,1.0
23537,1.0
23539,1.0
23541,1.0
23543,1.0
23545,1.0
23547,1.0
23549,1.0
23551,1.0
23553,1.0
23555,1.0
23557,1.0
23559,1.0
23561,1.0
23563,1.0
23565,1.0
23567,1.0
23569,1.0
23571,1.0
23573,1.0
23575,1.0
23577,1.0
23579,1.0
23581,1.0
23583,1.0
23585,1.0
23587,1.0
23589,1.0
23591,1.0
23593,1.0
23595,1.0
23597,1.0
23599,1.0
23601,1.0
23603,1.0
23605,1.0
23607,1.0
23609,1.0
23611,1.0
23613,1.0
23615,1.0
23617,1.0
23619,1.0
23621,1.0
23623,1.0
23625,1.0
23627,1.0
23629,1.0
23631,1.0
23633,1.0
23635,1.0
23637,1.0
23639,1.0
23641,1.0
23643,1.0
23645,1.0
23647,1.0
23651,1.0
23653,1.0
23655,1.0
23657,1.0
23659,1.0
23661,1.0
23663,1.0
23665,1.0
23667,1.0
23669,1.0
23671,1.0
23673,1.0
23675,1.0
23677,1.0
23679,1.0
23681,1.0
23683,1.0
23685,1.0
23687,1.0
23689,1.0
23691,1.0
23693,1.0
23695,1.0
23697,1.0
23699,1.0
23701,1.0
23703,1.0
23705,1.0
23707,1.0
23709,1.0
23711,1.0
23715,1.0
23717,1.0
23719,1.0
23721,1.0
23723,1.0
23725,1.0
23727,1.0
23731,1.0
23733,1.0
23735,1.0
23737,1.0
23739,1.0
23741,1.0
23743,1.0
23745,1.0
23747,1.0
23749,1.0
23751,1.0
23753,1.0
23755,1.0
23757,1.0
23759,1.0
23763,1.0
23765,1.0
23767,1.0
23769,1.0
23771,1.0
23773,1.0
23775,1.0
23777,1.0
23779,1.0
23781,1.0
23783,1.0
23787,1.0
23791,1.0
23793,1.0
23797,1.0
23799,1.0
23801,1.0
23803,1.0
23805,1.0
23807,1.0
23811,1.0
23813,1.0
23815,1.0
23817,1.0
23819,1.0
23821,1.0
23823,1.0
23825,1.0
23827,1.0
23829,1.0
23831,1.0
23833,1.0
23835,1.0
23837,1.0
23839,1.0
23841,1.0
23843,1.0
23845,1.0
23847,1.0
23849,1.0
23851,1.0
23853,1.0
23855,1.0
23857,1.0
23859,1.0
23861,1.0
23863,1.0
23865,1.0
23867,1.0
23869,1.0
23871,1.0
23873,1.0
23877,1.0
23879,1.0
23881,1.0
23883,1.0
23885,1.0
23887,1.0
23889,1.0
23891,1.0
23893,1.0
23897,1.0
23899,1.0
23901,1.0
23903,1.0
23905,1.0
23907,1.0
23911,1.0
23913,1.0
23915,1.0
23917,1.0
23919,1.0
23921,1.0
23923,1.0
23925,1.0
23927,1.0
23929,1.0
23931,1.0
23933,1.0
23935,1.0
23937,1.0
23939,1.0
23943,1.0
23947,1.0
23951,1.0
23953,1.0
23955,1.0
23957,0.9745458218496125
23959,0.9745458218496125
23961,0.9745458218496125
23963,0.9745458218496125
23965,0.9745458218496125
23967,0.9745458218496125
23969,0.9745458218496125
23971,0.9745458218496125
23973,0.9745458218496125
23975,0.9745458218496125
23977,0.9745458218496125
23981,0.9745458218496125
23983,0.9745458218496125
23985,0.9745458218496125
23987,0.9745458218496125
23989,0.9745458218496125
23991,0.9745458218496125
23993,0.9745458218496125
23995,0.9745458218496125
23997,0.9745458218496125
23999,0.9745458218496125
24001,0.9714548736721735
24003,0.9714548736721735
24005,0.9714548736721735
24007,0.9714548736721735
24009,0.9714548736721735
24011,0.9714548736721735
24013,0.9714548736721735
24015,0.9714548736721735
24017,0.9714548736721735
24019,0.9714548736721735
24021,0.9714548736721735
24023,0.9714548736721735
24025,0.9714548736721735
24027,0.9714548736721735
24029,0.9714548736721735
24031,0.9714548736721735
24033,0.9714548736721735
24035,0.9714548736721735
24037,0.9714548736721735
24039,0.9714548736721735
24041,0.9714548736721735
24043,0.9714548736721735
24045,0.9714548736721735
24047,0.9714548736721735
24049,0.9714548736721735
24051,0.9714548736721735
24055,0.9714548736721735
24057,0.9714548736721735
24059,0.9714548736721735
24061,0.9714548736721735
24063,0.9714548736721735
24065,0.9714548736721735
24067,0.9714548736721735
24069,0.9714548736721735
24071,0.9714548736721735
24073,0.9714548736721735
24075,0.9714548736721735
24077,0.9714548736721735
24079,0.9714548736721735
24081,0.9714548736721735
24083,0.9714548736721735
24085,0.9714548736721735
24087,0.9714548736721735
24089,0.9714548736721735
24091,0.9714548736721735
24093,0.9714548736721735
24095,0.9714548736721735
24097,0.9714548736721735
24099,0.9714548736721735
24101,0.9714548736721735
24103,0.9714548736721735
24105,0.9714548736721735
24107,0.9714548736721735
24109,0.9714548736721735
24111,0.9714548736721735
24113,0.9714548736721735
24115,0.9714548736721735
24117,0.9714548736721735
24121,0.9714548736721735
24123,0.9714548736721735
24125,0.9714548736721735
24127,0.9714548736721735
24129,0.9714548736721735
24131,0.9714548736721735
24133,0.9714548736721735
24135,0.9714548736721735
24137,0.9714548736721735
24139,0.9714548736721735
24141,0.9714548736721735
24143,0.9714548736721735
24145,0.9714548736721735
24147,0.9714548736721735
24149,0.9714548736721735
24151,0.9714548736721735
24153,0.9714548736721735
24155,0.9714548736721735
24159,0.9714548736721735
24161,0.9714548736721735
24163,0.9714548736721735
24165,0.9714548736721735
24167,0.9714548736721735
24169,0.9714548736721735
24171,0.9714548736721735
24173,0.9714548736721735
24175,0.9714548736721735
24177,0.9714548736721735
24179,0.9714548736721735
24181,0.9714548736721735
24183,0.9714548736721735
24185,0.9714548736721735
24187,0.9714548736721735
24189,0.9714548736721735
24191,0.9714548736721735
24197,0.9714548736721735
24199,0.9714548736721735
24201,0.9714548736721735
24203,0.9714548736721735
24205,0.9745458218496125
24207,0.9745458218496125
24209,0.9745458218496125
24211,0.9745458218496125
24213,0.9745458218496125
24215,0.9745458218496125
24217,0.9745458218496125
24219,0.9745458218496125
24223,0.9745458218496125
24225,0.9745458218496125
24227,0.9745458218496125
24229,0.9745458218496125
24231,0.9745458218496125
24233,0.9745458218496125
24235,0.9745458218496125
24237,0.9745458218496125
24239,0.9745458218496125
24241,0.9745458218496125
24243,0.9745458218496125
24245,0.9745458218496125
24247,1.0
24249,1.0
24251,1.0
24253,1.0
24255,1.0
24257,1.0
24259,1.0
24261,1.0
24263,1.0
24265,1.0
