,EID,GPS,kod1,kod2,kod3,kod4,high,cur,temp,strTime,Uhigh,H,UTC,cur52,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER,Amax,Fifo_err,I_coef,cur_n
0,23001,18:20:16,652,3533,3737,1069,-26.73,1.022,3.5,18:20:16,-28.63,140.3,18:20:16,108.0,5,1014,472,243,243,243,285,0,1.1997726122061056,1.22616760967464
1,23003,18:20:37,652,3533,3737,1069,-26.73,1.022,3.5,18:20:37,-28.63,140.2,18:20:37,108.0,3,881,472,243,243,243,327,0,1.1997726122061056,1.22616760967464
2,23005,18:20:42,652,3533,3737,1069,-26.73,1.022,3.5,18:20:42,-28.63,140.3,18:20:42,108.0,3,5564,242,242,242,242,810,0,1.1997726122061056,1.22616760967464
3,23007,18:20:45,652,3533,3737,1069,-26.73,1.022,3.5,18:20:45,-28.63,140.3,18:20:45,108.0,4,770,472,242,242,242,259,0,1.1997726122061056,1.22616760967464
4,23009,18:20:51,652,3533,3737,1069,-26.73,1.022,3.5,18:20:51,-28.63,140.3,18:20:51,108.0,3,2276,472,243,243,243,679,0,1.1997726122061056,1.22616760967464
5,23011,18:21:46,653,3532,3737,1069,-26.73,1.022,3.5,18:21:46,-28.63,140.4,18:21:46,102.0,2,591,472,241,241,241,446,0,1.1997726122061056,1.22616760967464
6,23013,18:21:52,653,3532,3737,1069,-26.73,1.022,3.5,18:21:52,-28.63,140.4,18:21:52,102.0,3,2189,473,244,244,244,714,0,1.1997726122061056,1.22616760967464
7,23015,18:21:56,653,3532,3737,1069,-26.73,1.022,3.5,18:21:56,-28.63,140.4,18:21:56,102.0,2,575,472,241,472,241,519,0,1.1997726122061056,1.22616760967464
8,23017,18:22:13,652,3535,3737,1068,-26.73,1.022,3.5,18:22:13,-28.63,140.4,18:22:13,101.0,4,5856,244,243,244,243,896,0,1.1997726122061056,1.22616760967464
9,23019,18:22:26,652,3535,3737,1068,-26.73,1.022,3.5,18:22:26,-28.63,140.4,18:22:26,101.0,3,1423,472,243,243,243,430,0,1.1997726122061056,1.22616760967464
10,23021,18:23:09,652,3535,3737,1068,-26.73,1.022,3.5,18:23:09,-28.63,140.4,18:23:09,101.0,3,6742,242,242,242,242,796,0,1.1997726122061056,1.22616760967464
11,23023,18:23:22,652,3532,3737,1066,-26.73,1.022,3.5,18:23:22,-28.63,140.4,18:23:22,102.0,3,2113,472,242,242,242,681,0,1.1997726122061056,1.22616760967464
