,EID,UTC,Type,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER,Amax,Fifo_err
162,23001,2018-12-07  21:20:09,L,5,1014,472,243,243,243,285,0
164,23003,2018-12-07  21:20:30,L,3,881,472,243,243,243,327,0
166,23005,2018-12-07  21:20:35,L,3,5564,242,242,242,242,810,0
168,23007,2018-12-07  21:20:38,L,4,770,472,242,242,242,259,0
170,23009,2018-12-07  21:20:44,L,3,2276,472,243,243,243,679,0
172,23011,2018-12-07  21:21:39,L,2,591,472,241,241,241,446,0
174,23013,2018-12-07  21:21:45,L,3,2189,473,244,244,244,714,0
176,23015,2018-12-07  21:21:49,L,2,575,472,241,472,241,519,0
178,23017,2018-12-07  21:22:06,L,4,5856,244,243,244,243,896,0
180,23019,2018-12-07  21:22:19,L,3,1423,472,243,243,243,430,0
182,23021,2018-12-07  21:23:02,L,3,6742,242,242,242,242,796,0
184,23023,2018-12-07  21:23:15,L,3,2113,472,242,242,242,681,0
186,23025,2018-12-07  21:23:25,L,4,3382,472,243,243,243,736,0
188,23027,2018-12-07  21:23:38,L,5,3696,472,241,241,241,699,0
190,23029,2018-12-07  21:23:52,L,2,1353,472,244,244,244,718,0
192,23031,2018-12-07  21:24:29,L,4,3524,472,242,242,242,681,0
194,23033,2018-12-07  21:25:11,L,3,2413,472,243,243,243,708,0
196,23035,2018-12-07  21:25:13,L,2,657,472,243,243,243,350,0
198,23037,2018-12-07  21:25:52,L,4,2646,472,243,244,243,690,0
202,23041,2018-12-07  21:26:13,L,3,234,472,243,244,243,194,0
204,23043,2018-12-07  21:27:06,L,5,2036,472,243,472,243,632,0
206,23045,2018-12-07  21:27:47,L,2,531,473,245,245,245,365,0
208,23047,2018-12-07  21:27:59,L,7,4951,242,241,242,241,826,0
210,23049,2018-12-07  21:28:01,L,3,851,472,244,472,244,606,0
212,23051,2018-12-07  21:28:05,L,2,619,472,242,242,242,380,0
214,23053,2018-12-07  21:28:19,L,4,1268,472,244,244,244,493,0
216,23055,2018-12-07  21:28:23,L,5,1772,472,243,244,243,534,0
218,23057,2018-12-07  21:28:24,L,3,1878,472,244,244,244,623,0
220,23059,2018-12-07  21:29:10,L,3,2180,472,244,245,244,567,0
222,23061,2018-12-07  21:29:13,L,3,2039,472,243,243,243,665,0
224,23063,2018-12-07  21:29:38,L,3,800,472,243,472,243,476,0
226,23065,2018-12-07  21:29:41,L,4,4866,241,241,241,241,725,0
228,23067,2018-12-07  21:30:05,L,4,1167,472,243,243,243,384,0
230,23069,2018-12-07  21:30:28,L,2,596,472,242,242,242,370,0
232,23071,2018-12-07  21:30:30,L,3,2055,244,244,244,244,764,0
234,23073,2018-12-07  21:30:34,L,2,546,472,245,245,245,267,0
236,23075,2018-12-07  21:30:38,L,3,837,472,243,243,243,477,0
238,23077,2018-12-07  21:32:00,L,3,1665,472,242,242,242,546,0
240,23079,2018-12-07  21:32:25,E,5,689,472,242,472,242,270,0
242,23081,2018-12-07  21:32:29,L,3,5025,241,241,241,241,852,0
244,23083,2018-12-07  21:33:46,L,4,1464,472,244,244,244,458,0
