,date,time,On,u,i,t,u5,dac,CH0,CH1,CH2,CH3,U,I,U5,T
0,Input:,21:c+measurements_begin,,,,,,,,,,,,,,
23,Input:,18:c+without+filters,,,,,,,,,,,,,,
66,Input:,2:n,,,,,,,,,,,,,,
72,08.11.2018,21:42:10,ON,-U=-14.9V,I=0.0uA,T=7.3C,Us=4.9V,DAC:0,1439.0,4094.0,474.0,1145.0,-14.922079999999998,0.0,4.94,7.25
73,08.11.2018,21:42:11,ON,-U=-14.9V,I=0.0uA,T=7.3C,Us=4.9V,DAC:0,1440.0,4094.0,474.0,1145.0,-14.906799999999997,0.0,4.94,7.25
74,08.11.2018,21:42:12,ON,-U=-14.9V,I=0.0uA,T=7.2C,Us=4.9V,DAC:0,1439.0,4094.0,475.0,1144.0,-14.922079999999998,0.0,4.95,7.2
75,08.11.2018,21:42:13,ON,-U=-14.9V,I=0.1uA,T=7.2C,Us=4.9V,DAC:0,1440.0,4093.0,474.0,1144.0,-14.906799999999997,0.09641342074816815,4.94,7.2
76,08.11.2018,21:42:14,ON,-U=-14.9V,I=0.1uA,T=7.2C,Us=4.9V,DAC:0,1441.0,4093.0,474.0,1143.0,-14.891519999999996,0.09641342074816815,4.94,7.15
77,08.11.2018,21:42:15,ON,-U=-14.9V,I=-0.1uA,T=7.2C,Us=4.9V,DAC:0,1439.0,4095.0,474.0,1144.0,-14.922079999999998,-0.09641342074816815,4.94,7.2
78,08.11.2018,21:42:16,ON,-U=-14.9V,I=0.0uA,T=7.3C,Us=4.9V,DAC:0,1440.0,4094.0,474.0,1145.0,-14.906799999999997,0.0,4.94,7.25
79,08.11.2018,21:42:17,ON,-U=-14.9V,I=0.1uA,T=7.2C,Us=4.9V,DAC:0,1441.0,4093.0,474.0,1144.0,-14.891519999999996,0.09641342074816815,4.94,7.2
80,08.11.2018,21:42:18,ON,-U=-14.9V,I=0.1uA,T=7.2C,Us=4.9V,DAC:0,1440.0,4093.0,474.0,1144.0,-14.906799999999997,0.09641342074816815,4.94,7.2
81,08.11.2018,21:42:19,ON,-U=-14.9V,I=0.1uA,T=7.3C,Us=4.9V,DAC:0,1440.0,4093.0,474.0,1145.0,-14.906799999999997,0.09641342074816815,4.94,7.25
82,08.11.2018,21:42:20,ON,-U=-14.9V,I=0.0uA,T=7.3C,Us=4.9V,DAC:0,1441.0,4094.0,474.0,1145.0,-14.891519999999996,0.0,4.94,7.25
83,08.11.2018,21:42:21,ON,-U=-14.9V,I=0.1uA,T=7.2C,Us=4.9V,DAC:0,1440.0,4093.0,475.0,1144.0,-14.906799999999997,0.09641342074816815,4.95,7.2
84,08.11.2018,21:42:22,ON,-U=-14.9V,I=0.0uA,T=7.2C,Us=4.9V,DAC:0,1441.0,4094.0,474.0,1144.0,-14.891519999999996,0.0,4.94,7.2
85,Input:,6:w_230,,,,,,,,,,,,,,
91,08.11.2018,21:42:23,ON,-U=-25.2V,I=17.7uA,T=7.2C,Us=4.9V,DAC:230,768.0,3910.0,475.0,1144.0,-25.17496,17.740069417662937,4.95,7.2
92,08.11.2018,21:42:24,ON,-U=-25.2V,I=18.0uA,T=7.2C,Us=4.9V,DAC:230,769.0,3907.0,474.0,1144.0,-25.159679999999994,18.029309679907442,4.94,7.2
93,08.11.2018,21:42:25,ON,-U=-25.2V,I=17.8uA,T=7.3C,Us=4.9V,DAC:230,769.0,3909.0,474.0,1145.0,-25.159679999999994,17.836482838411108,4.94,7.25
94,08.11.2018,21:42:26,ON,-U=-25.2V,I=18.1uA,T=7.2C,Us=4.9V,DAC:230,769.0,3906.0,474.0,1144.0,-25.159679999999994,18.125723100655613,4.94,7.2
95,08.11.2018,21:42:27,ON,-U=-25.2V,I=18.2uA,T=7.3C,Us=4.9V,DAC:230,769.0,3905.0,474.0,1145.0,-25.159679999999994,18.22213652140378,4.94,7.25
96,08.11.2018,21:42:28,ON,-U=-25.2V,I=17.8uA,T=7.2C,Us=4.9V,DAC:230,769.0,3909.0,474.0,1144.0,-25.159679999999994,17.836482838411108,4.94,7.2
97,08.11.2018,21:42:29,ON,-U=-25.2V,I=17.8uA,T=7.3C,Us=4.9V,DAC:230,769.0,3909.0,474.0,1145.0,-25.159679999999994,17.836482838411108,4.94,7.25
98,08.11.2018,21:42:31,ON,-U=-25.2V,I=17.8uA,T=7.3C,Us=4.9V,DAC:230,768.0,3909.0,474.0,1145.0,-25.17496,17.836482838411108,4.94,7.25
99,08.11.2018,21:42:32,ON,-U=-25.2V,I=18.0uA,T=7.2C,Us=4.9V,DAC:230,769.0,3907.0,474.0,1144.0,-25.159679999999994,18.029309679907442,4.94,7.2
100,08.11.2018,21:42:33,ON,-U=-25.2V,I=18.0uA,T=7.2C,Us=4.9V,DAC:230,768.0,3907.0,474.0,1144.0,-25.17496,18.029309679907442,4.94,7.2
101,08.11.2018,21:42:34,ON,-U=-25.2V,I=18.0uA,T=7.2C,Us=4.9V,DAC:230,769.0,3907.0,474.0,1144.0,-25.159679999999994,18.029309679907442,4.94,7.2
