N,time,name,w,begin,end
1,21:42,Без_фильтров,0,21:42:10,21:42:22
,,Без_фильтров,230,21:42:23,21:42:43
,,Без_фильтров,250,21:42:44,21:45:04
2,21:50,УФС-1,250,21:50:29,21:53:54
3,21:56,Без_фильтров,250,21:56:27,21:58:45
4,22:02,УФС-5,250,22:02:53,22:05:35
5,22:07,Без_фильтров,250,22:07:40,22:10:53
6,22:13,ФС6_(BG3),250,22:13:13,22:16:29
7,22:18,Без_фильтров,250,22:18:45,22:21:14
8,22:25,SL360/50,250,22:25:08,22:28:23
9,22:30,Без_фильтров,250,22:30:23,22:33:12
10,22:35,SL280-380,250,22:35:25,22:38:33
11,22:40,Без_фильтров,250,22:40:29,22:43:55
12,22:46,FF01-375/110,250,22:46:08,22:50:08
13,22:56,Без_фильтров,250,22:52:15,22:56:15
,,Без_фильтров,210,22:56:16,23:00:06
,,С_закрытой_диафрагмой,210,23:01:43,23:04:04
14,23:04,С_закрытой_диафрагмой,250,23:04:05,23:08:30
