Day	Sunrise	Sunset	Moonrise	Moonset
1/2/2018	08:42	17:50	18:53	09:05
2/2/2018	08:41	17:52	20:13	09:40
3/2/2018	08:39	17:54	21:31	10:09
4/2/2018	08:37	17:56	22:46	10:34
5/2/2018	08:36	17:58	23:58	10:58
6/2/2018	08:34	18:00	None	11:21
7/2/2018	08:32	18:01	01:08	11:45
8/2/2018	08:31	18:03	02:15	12:12
9/2/2018	08:29	18:05	03:19	12:41
10/2/2018	08:27	18:07	04:20	13:15
11/2/2018	08:25	18:09	05:16	13:56
12/2/2018	08:23	18:11	06:07	14:42
13/2/2018	08:22	18:12	06:53	15:35
14/2/2018	08:20	18:14	07:32	16:34
15/2/2018	08:18	18:16	08:05	17:37
16/2/2018	08:16	18:18	08:34	18:43
17/2/2018	08:14	18:20	09:00	19:50
18/2/2018	08:12	18:22	09:23	20:59
19/2/2018	08:10	18:24	09:46	22:10
20/2/2018	08:08	18:25	10:09	23:21
21/2/2018	08:06	18:27	10:33	None
22/2/2018	08:04	18:29	11:00	00:34
23/2/2018	08:02	18:31	11:32	01:48
24/2/2018	08:00	18:33	12:12	03:02
25/2/2018	07:57	18:35	13:00	04:12
26/2/2018	07:55	18:36	13:59	05:16
27/2/2018	07:53	18:38	15:08	06:11
28/2/2018	07:51	18:40	16:24	06:57
1/3/2018	07:49	18:42	17:43	07:34
2/3/2018	07:47	18:43	19:02	08:06
3/3/2018	07:45	18:45	20:20	08:33
4/3/2018	07:42	18:47	21:35	08:58
5/3/2018	07:40	18:49	22:48	09:21
6/3/2018	07:38	18:51	23:58	09:46
7/3/2018	07:36	18:52	None	10:11
8/3/2018	07:33	18:54	01:05	10:40
9/3/2018	07:31	18:56	02:09	11:13
10/3/2018	07:29	18:58	03:08	11:51
11/3/2018	07:27	18:59	04:01	12:35
12/3/2018	07:24	19:01	04:49	13:26
13/3/2018	07:22	19:03	05:30	14:22
14/3/2018	07:20	19:05	06:05	15:24
15/3/2018	07:18	19:06	06:36	16:29
16/3/2018	07:15	19:08	07:03	17:37
17/3/2018	07:13	19:10	07:27	18:46
18/3/2018	07:11	19:11	07:50	19:58
19/3/2018	07:08	19:13	08:13	21:10
20/3/2018	07:06	19:15	08:37	22:25
21/3/2018	07:04	19:17	09:03	23:39
22/3/2018	07:02	19:18	09:34	None
23/3/2018	06:59	19:20	10:10	00:53
24/3/2018	06:57	19:22	10:55	02:05
25/3/2018	06:55	19:23	11:50	03:10
26/3/2018	06:52	19:25	12:54	04:06
27/3/2018	06:50	19:27	14:05	04:54
28/3/2018	06:48	19:29	15:21	05:33
29/3/2018	06:45	19:30	16:39	06:05
30/3/2018	06:43	19:32	17:56	06:33
31/3/2018	06:41	19:34	19:12	06:58
1/4/2018	06:37	19:36	20:27	07:22
2/4/2018	06:34	19:37	21:39	07:45
