,part,energy,angle,n,Q35,Q50,Q70,Q,QR35_70,QR70_150,QR50_200
0,p,10,20-40,0,837248100.0,1468153500.0,2513524800.0,23674611469.0,1541830800.0,5468256200.0,9633026500.0
1,p,10,20-40,1,565849300.0,1009420200.0,1765051900.0,21443950222.0,1100736400.0,4342816900.0,8034556900.0
2,p,10,20-40,2,4168016000.0,6443683000.0,9506982000.0,33009753958.0,4983398000.0,9054208900.0,15523957400.0
3,p,10,20-40,3,819677000.0,1425108900.0,2418440800.0,22878618381.0,1471568000.0,5119477000.0,9142975400.0
4,p,10,20-40,4,881528800.0,1498092000.0,2470603100.0,21445276286.0,1466727900.0,4695012800.0,8474705100.0
5,p,10,20-40,5,1211508000.0,2087280000.0,3498418000.0,25823382342.0,2108106000.0,6548477000.0,11092475100.0
6,p,10,20-40,6,1990182000.0,3184624000.0,4923413000.0,26667709608.0,2722239000.0,6809782700.0,11685918300.0
7,p,10,20-40,7,1240345000.0,2119649000.0,3515899200.0,24483971086.0,2099602000.0,6247374500.0,10577767500.0
8,p,10,20-40,8,1986499000.0,3251261000.0,5127864000.0,26544876090.0,2912800000.0,7067528200.0,11978672400.0
9,p,10,20-40,9,1518408000.0,2548766000.0,4161575000.0,27294156687.0,2441008000.0,7092532900.0,11961192000.0
10,p,10,20-40,10,1354071000.0,2297437000.0,3784714000.0,25033498544.0,2243980000.0,6527698600.0,10996424700.0
11,p,10,20-40,11,1504864000.0,2594090000.0,4337997000.0,29026263381.0,2613146000.0,7698089100.0,12959458500.0
12,p,10,20-40,12,2349331000.0,3826651000.0,6008420000.0,30059906321.0,3393655000.0,8159858100.0,13773601100.0
13,p,10,20-40,13,1288494000.0,2166680000.0,3529392900.0,23889630105.0,2070946600.0,5978595600.0,10249191800.0
14,p,10,20-40,14,1515258000.0,2482052000.0,3947256000.0,24936994127.0,2251000000.0,6258371100.0,10722802100.0
15,p,10,20-40,15,1703447000.0,2864900000.0,4667285000.0,29271004492.0,2739249000.0,7676661700.0,13024529300.0
16,p,10,20-40,16,1617905000.0,2691638000.0,4336828000.0,28019426036.0,2515232000.0,6956399000.0,12081772200.0
17,p,10,20-40,17,1672174000.0,2730357000.0,4303556000.0,25506056459.0,2439016000.0,6326083700.0,11003670900.0
18,p,10,20-40,18,842516200.0,1478042200.0,2536925600.0,23682599548.0,1557853500.0,5580324600.0,9736276300.0
19,p,10,20-40,19,772886500.0,1295360200.0,2116750100.0,20386467739.0,1240410500.0,4132476100.0,7667530500.0
20,p,10,20-40,20,2724369000.0,4430483000.0,6916368000.0,30717141706.0,3892654000.0,8469755800.0,14342649700.0
21,p,10,20-40,21,751308900.0,1288284500.0,2162397900.0,21103877435.0,1299373600.0,4565953300.0,8258361700.0
22,p,10,20-40,22,2624656000.0,4223986000.0,6537363000.0,30985044454.0,3634140000.0,8356081800.0,14234112800.0
23,p,10,20-40,23,1325159000.0,2266795000.0,3759827000.0,25807461255.0,2246947000.0,6655756400.0,11230243500.0
24,p,10,20-40,24,438632800.0,789504700.0,1389285100.0,18747586320.0,872398200.0,3548489600.0,6728077100.0
25,p,10,20-40,25,1293239000.0,2198509000.0,3625879200.0,25665364773.0,2153354000.0,6433523700.0,11063057600.0
