,part,energy,angle,n,Q,Q25,Q50,QR25_130,QR50_130,eta25_130,eta50_130
0,p,10,00-20,0,26789148417.0,4687884000.0,9312693000.0,12992366100.0,8367557100.0,0.36081834239569344,1.112952429090684
1,p,10,00-20,1,32573439846.0,3252542000.0,7433032000.0,14582780000.0,10402290000.0,0.22303991420017308,0.7145572753691736
2,p,10,00-20,2,30904469941.0,2841568000.0,6441772000.0,13255227200.0,9655023200.0,0.21437339074806655,0.6671938395756521
3,p,10,00-20,3,31164168377.0,3832174000.0,8340468000.0,14520790200.0,10012496200.0,0.26390946685532307,0.8330058592182038
4,p,10,00-20,4,26400113314.0,1091460000.0,2976123000.0,9268500300.0,7383837300.0,0.11776015155332087,0.40305912482659934
5,p,10,00-20,5,31278337931.0,2683770000.0,6289913000.0,13494996100.0,9888853100.0,0.1988714913374447,0.6360609199463182
6,p,10,00-20,6,30453798807.0,2653144000.0,6270916000.0,13276946700.0,9659174700.0,0.1998308843101705,0.6492186128489839
7,p,10,00-20,7,30695523987.0,2485957000.0,5879541000.0,12964384100.0,9570800100.0,0.19175280374483814,0.6143207400183816
8,p,10,00-20,8,31011435451.0,2408833000.0,5750945000.0,13008715500.0,9666603500.0,0.18517070344108916,0.5949292323823978
9,p,10,00-20,9,30075478404.0,1477647000.0,3889264000.0,11186616500.0,8774999500.0,0.1320906102394768,0.44322099391572617
10,p,10,00-20,10,29630111857.0,1727001000.0,4371166000.0,11564754700.0,8920589700.0,0.14933312852714464,0.4900086369850639
11,p,10,00-20,11,26093016921.0,1145280000.0,2984873000.0,8896422400.0,7056829400.0,0.1287348946021268,0.4229764998995158
12,p,10,00-20,12,32103211148.0,1456670000.0,3892891000.0,11841809300.0,9405588300.0,0.12301076322855495,0.41389128205834824
13,p,10,00-20,13,31190039217.0,2062104000.0,5152067000.0,12723112700.0,9633149700.0,0.16207543300312038,0.5348268386195638
14,p,10,00-20,14,26481510454.0,1092382000.0,2904825000.0,9105338600.0,7292895600.0,0.11997159556482612,0.3983088692507815
15,p,10,00-20,15,29101451502.0,1926034000.0,4778304000.0,11723444600.0,8871174600.0,0.1642890861615877,0.5386326180526309
16,p,10,00-20,16,26400525202.0,904579000.0,2565139000.0,8800972000.0,7140412000.0,0.10278171547415445,0.35924243587064725
17,p,10,00-20,17,31054640613.0,2293722000.0,5554486000.0,12886696600.0,9625932600.0,0.1779914644688694,0.577033543742037
18,p,10,00-20,18,28527315303.0,3320807000.0,7136059000.0,12804098300.0,8988846300.0,0.2593550066700128,0.7938792990597692
