logE frac errmin errplus
16.2500 7.820e-01 2.800e-02 2.100e-02
16.3520 7.930e-01 2.800e-02 2.800e-02
16.4510 7.890e-01 3.500e-02 3.100e-02
16.5530 7.710e-01 4.100e-02 3.500e-02
16.6490 7.830e-01 4.400e-02 3.800e-02
16.7510 7.950e-01 4.900e-02 4.700e-02
16.8500 7.740e-01 5.500e-02 4.600e-02
16.9490 8.120e-01 6.200e-02 5.200e-02
17.0480 8.040e-01 6.200e-02 5.600e-02
17.1500 8.310e-01 7.300e-02 6.600e-02
17.2490 8.670e-01 5.900e-02 5.500e-02
17.3480 8.870e-01 6.700e-02 7.700e-02
17.4470 8.350e-01 6.900e-02 7.700e-02
17.5490 9.200e-01 7.600e-02 7.200e-02
17.6970 9.280e-01 8.500e-02 1.360e-01
17.8980 9.110e-01 8.600e-02 1.220e-01
