x y st sys
1.500e+01 2.440e+01 2.440e+01 2.440e+01
1.509e+01 2.440e+01 2.440e+01 2.440e+01
1.519e+01 2.442e+01 2.442e+01 2.442e+01
1.530e+01 2.445e+01 2.445e+01 2.445e+01
1.540e+01 2.450e+01 2.450e+01 2.450e+01
1.550e+01 2.455e+01 2.455e+01 2.455e+01
1.560e+01 2.460e+01 2.460e+01 2.460e+01
1.570e+01 2.468e+01 2.468e+01 2.468e+01
1.580e+01 2.470e+01 2.470e+01 2.470e+01
1.590e+01 2.463e+01 2.463e+01 2.463e+01
1.600e+01 2.460e+01 2.460e+01 2.460e+01
1.610e+01 2.460e+01 2.460e+01 2.460e+01
1.620e+01 2.465e+01 2.465e+01 2.465e+01
1.629e+01 2.455e+01 2.455e+01 2.455e+01
1.639e+01 2.460e+01 2.460e+01 2.460e+01
1.649e+01 2.458e+01 2.458e+01 2.458e+01
1.660e+01 2.460e+01 2.460e+01 2.460e+01
1.670e+01 2.462e+01 2.462e+01 2.462e+01
1.680e+01 2.462e+01 2.462e+01 2.462e+01
1.690e+01 2.460e+01 2.460e+01 2.460e+01
1.700e+01 2.455e+01 2.455e+01 2.455e+01
1.710e+01 2.457e+01 2.457e+01 2.457e+01
1.720e+01 2.459e+01 2.459e+01 2.459e+01
1.730e+01 2.460e+01 2.460e+01 2.460e+01
1.740e+01 2.454e+01 2.454e+01 2.454e+01
1.750e+01 2.458e+01 2.458e+01 2.458e+01
1.760e+01 2.454e+01 2.454e+01 2.454e+01
1.770e+01 2.452e+01 2.452e+01 2.452e+01
1.780e+01 2.458e+01 2.458e+01 2.458e+01
1.790e+01 2.455e+01 2.455e+01 2.455e+01
1.800e+01 2.448e+01 2.448e+01 2.448e+01
