x y st sys
1.604532e+01 2.452690e+01 2.452336e+01 2.453042e+01
1.614922e+01 2.451212e+01 2.450836e+01 2.451584e+01
1.625042e+01 2.449083e+01 2.448845e+01 2.449320e+01
1.635025e+01 2.449165e+01 2.448849e+01 2.449479e+01
1.645025e+01 2.449688e+01 2.449376e+01 2.449997e+01
1.655023e+01 2.450377e+01 2.449949e+01 2.450802e+01
1.665031e+01 2.451795e+01 2.451322e+01 2.452263e+01
1.674974e+01 2.452567e+01 2.451872e+01 2.453251e+01
1.685003e+01 2.452874e+01 2.452091e+01 2.453642e+01
1.694988e+01 2.451895e+01 2.450860e+01 2.452906e+01
1.704922e+01 2.448810e+01 2.447399e+01 2.450176e+01
1.714922e+01 2.446885e+01 2.445198e+01 2.448508e+01
1.725042e+01 2.448446e+01 2.446307e+01 2.450484e+01
1.735025e+01 2.447235e+01 2.444520e+01 2.449790e+01
1.745025e+01 2.439997e+01 2.435935e+01 2.443711e+01
1.755023e+01 2.440350e+01 2.435569e+01 2.444657e+01
1.769984e+01 2.449221e+01 2.444976e+01 2.453088e+01
1.789982e+01 2.432887e+01 2.424477e+01 2.439930e+01
1.814922e+01 2.403872e+01 2.385249e+01 2.416864e+01
