x sp sm
1.604532e+01 2.457213e+01 2.446638e+01
1.614922e+01 2.455825e+01 2.446049e+01
1.625042e+01 2.452358e+01 2.445798e+01
1.635025e+01 2.452496e+01 2.446068e+01
1.645025e+01 2.452101e+01 2.447132e+01
1.655023e+01 2.453321e+01 2.447220e+01
1.665031e+01 2.456052e+01 2.447075e+01
1.674974e+01 2.457554e+01 2.446932e+01
1.685003e+01 2.458191e+01 2.446813e+01
1.694988e+01 2.456979e+01 2.446136e+01
1.704922e+01 2.454035e+01 2.442869e+01
1.714922e+01 2.453044e+01 2.439705e+01
1.725042e+01 2.456484e+01 2.438574e+01
1.735025e+01 2.456263e+01 2.435824e+01
1.745025e+01 2.449688e+01 2.427503e+01
1.755023e+01 2.449578e+01 2.428617e+01
1.769984e+01 2.458806e+01 2.436903e+01
1.789982e+01 2.442944e+01 2.419777e+01
1.814922e+01 2.413429e+01 2.391600e+01
