EID,UTC,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER,delay,H,EAS,SNRatio_s,SNRatio_n,AbsSignal_s,AbsSignal_n,TotalNoise_s,TotalNoise_n,NNear3,Theta,dt2_s,dt2_n,ng_s,ng_n,Crit1,Crit2
10675,2013-03-09  18:16:20,10,642,241,239,241,239,360,307.8,1.0,107.2117,37.68038,381.88800000000003,375.485,3.562,9.965,31.0,0.2042035,0.766965,1.802776,34.0,32.0,2.4974405611729344,2.8452917681453163
10677,2013-03-09  18:18:12,30,1339,239,238,242,238,112,307.8,1.0,13.49221,0.4979175,719.3639999999999,249.74,53.317,501.569,51.0,0.4869469,1.157275,1.519109,56.0,13.0,5.654536867940768,27.097272230959724
10679,2013-03-09  18:18:25,82,7320,238,248,249,238,13,307.6,0.0,0.1018002,0.07761495,61.123999999999995,218.918,600.431,2820.565,9.0,1.193805,2.939874,1.058301,14.0,25.0,0.20158978241924647,1.3116057173820888
10683,2013-03-09  18:32:54,22,513,227,241,470,227,181,305.9,0.0,1.299854,0.07133408,39.266,47.345,30.208000000000002,663.7080000000001,2.0,1.1466809999999998,1.48324,1.927248,5.0,7.0,0.9281071939036936,18.22206624627912
10685,2013-03-09  18:52:14,17,6909,240,239,239,239,1160,308.1,1.0,88.76434,1.873949,2951.148,1915.53,33.247,1022.189,81.0,0.3298672,0.6813851,1.568929,84.0,39.0,4.9593565992383635,47.3675335661312
10687,2013-03-09  19:00:55,18,935,241,240,240,240,521,395.8,1.0,11.03116,0.8506524,537.736,255.25099999999998,48.747,300.065,30.0,0.2984513,0.7161149,1.7320509999999998,39.0,11.0,8.575311155945911,12.96788374205654
10689,2013-03-09  19:02:23,9,463,238,238,469,238,88,432.0,0.0,6.17154,36.26458,245.47299999999998,261.79400000000004,39.775,7.218999999999999,5.0,0.1099557,0.8944271999999999,1.087115,10.0,11.0,1.1049377340451674,0.17018093090278735
10691,2013-03-09  19:04:50,24,799,240,238,470,238,147,510.5,1.0,16.25394,0.2092331,333.791,65.178,20.535999999999998,311.509,18.0,0.5340708000000001,1.069045,1.47196,21.0,6.0,4.819123610325104,77.68341975439935
10693,2013-03-09  19:05:45,20,997,238,237,238,237,55,550.8,1.0,11.07016,0.7427965999999999,403.153,179.011,36.418,240.99599999999998,20.0,0.07853982,0.8257228000000001,2.134375,22.0,9.0,6.318538268667295,14.903350656841614
10695,2013-03-09  19:06:02,30,816,244,239,240,239,16,563.0,1.0,5.405623,0.2112085,294.147,51.653999999999996,54.415,244.56400000000002,13.0,0.3769911,1.236694,1.581139,17.0,2.0,10.867426784637106,25.593775763408484
10697,2013-03-09  19:09:49,69,2744,242,242,242,242,226,606.7,1.0,12.11004,0.2076947,1038.0,150.328,85.714,723.793,31.0,0.6911503999999999,1.20185,2.345208,36.0,4.0,17.56198527270458,58.30691851955829
10699,2013-03-09  19:12:10,39,1874,237,236,237,236,141,604.9,1.0,23.33352,0.3568683,807.8530000000001,202.855,34.622,568.431,25.0,0.4869469,1.0,1.7320509999999998,30.0,6.0,8.660255000000001,65.38411171500775
10701,2013-03-09  19:16:52,9,306,470,241,242,241,282,603.3,1.0,4.59264,2.1987520000000003,205.415,163.829,44.727,74.51,13.0,0.1727876,0.6831301,2.366432,15.0,10.0,5.196152240986015,2.0887485789487528
10703,2013-03-09  19:22:15,9,225,469,240,241,240,322,601.1,1.0,8.677342,3.628318,148.209,123.693,17.08,34.091,4.0,0.5497787,2.1505810000000003,1.7320509999999998,8.0,3.0,2.147699931630878,2.391560261352657
10707,2013-03-09  19:24:34,13,316,469,236,237,236,71,605.8,1.0,5.306515,0.8652509,226.68900000000002,105.404,42.718999999999994,121.819,9.0,0.6597345,1.414214,1.949359,14.0,5.0,3.859532715699321,6.1329200983776
