EID,UTC,Type,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER,delay,H,EAS,SNRatio_s,SNRatio_n,AbsSignal_s,AbsSignal_n,TotalNoise_s,TotalNoise_n,NNear3,Theta,dt2_s,dt2_n,ng_s,ng_n,Crit1,Crit2
10675,2013-03-09  18:16:20,E,10,642,241,239,241,239,360,307.8,1.0,107.2117,37.68038,381.888,375.485,3.562,9.965,31.0,0.2042035,0.766965,1.802776,34.0,32.0,2.4974405611729344,2.845291768145316
10676,2013-03-09  18:16:20,C,0,6104408,242,243,243,242,0,307.8,,,,,,,,,,,,,,,
10677,2013-03-09  18:18:12,E,30,1339,239,238,242,238,112,307.8,1.0,13.49221,0.4979175,719.364,249.74,53.317,501.569,51.0,0.4869469,1.157275,1.519109,56.0,13.0,5.654536867940769,27.097272230959724
10678,2013-03-09  18:18:12,C,0,6205188,242,242,243,242,0,307.8,,,,,,,,,,,,,,,
10679,2013-03-09  18:18:25,D,82,7320,238,248,249,238,13,307.6,0.0,0.1018002,0.07761495,61.124,218.918,600.431,2820.565,9.0,1.193805,2.939874,1.058301,14.0,25.0,0.20158978241924652,1.3116057173820888
10680,2013-03-09  18:18:25,C,0,4891684,88,87,228,87,0,307.6,,,,,,,,,,,,,,,
10681,2013-03-09  18:29:52,D,311,32713,243,237,242,237,687,306.3,0.0,0.01480929,0.009828214,379.171,397.253,25603.58,40419.65,39.0,1.162389,2.477168,1.5055450000000001,44.0,45.0,0.5942626597971735,1.5068144712556102
10682,2013-03-09  18:29:53,C,0,6375492,242,243,243,242,1,306.3,,,,,,,,,,,,,,,
10683,2013-03-09  18:32:54,E,22,513,227,241,470,227,181,305.9,0.0,1.299854,0.07133408,39.266,47.345,30.208,663.708,2.0,1.1466809999999998,1.48324,1.9272479999999999,5.0,7.0,0.9281071939036936,18.222066246279116
10684,2013-03-09  18:32:54,C,0,6183078,242,242,242,242,0,305.9,,,,,,,,,,,,,,,
10685,2013-03-09  18:52:14,E,17,6909,240,239,239,239,1160,308.1,1.0,88.76434,1.873949,2951.1479999999997,1915.53,33.247,1022.189,81.0,0.3298672,0.6813851,1.568929,84.0,39.0,4.959356599238364,47.3675335661312
10686,2013-03-09  18:52:14,C,0,6556733,242,242,243,242,0,308.1,,,,,,,,,,,,,,,
10687,2013-03-09  19:00:55,E,18,935,241,240,240,240,521,395.8,1.0,11.03116,0.8506524,537.736,255.251,48.747,300.065,30.0,0.2984513,0.7161149,1.7320509999999998,39.0,11.0,8.575311155945911,12.967883742056541
10688,2013-03-09  19:00:55,C,0,6627982,242,242,243,242,0,395.8,,,,,,,,,,,,,,,
10689,2013-03-09  19:02:23,E,9,463,238,238,469,238,88,432.0,0.0,6.17154,36.26458,245.473,261.794,39.775,7.219,5.0,0.1099557,0.8944271999999999,1.087115,10.0,11.0,1.1049377340451674,0.17018093090278735
10690,2013-03-09  19:02:23,C,0,6577212,242,242,242,242,0,432.0,,,,,,,,,,,,,,,
10691,2013-03-09  19:04:50,E,24,799,240,238,470,238,147,510.5,1.0,16.25394,0.2092331,333.791,65.178,20.536,311.509,18.0,0.5340708000000001,1.069045,1.47196,21.0,6.0,4.819123610325103,77.68341975439934
10692,2013-03-09  19:04:50,C,0,6630795,242,242,242,242,0,510.5,,,,,,,,,,,,,,,
10693,2013-03-09  19:05:45,E,20,997,238,237,238,237,55,550.8,1.0,11.070160000000001,0.7427965999999999,403.153,179.011,36.418,240.996,20.0,0.07853982,0.8257228000000001,2.134375,22.0,9.0,6.318538268667295,14.903350656841617
10694,2013-03-09  19:05:46,C,0,6634900,243,242,243,242,1,550.8,,,,,,,,,,,,,,,
