EID,Type,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER,delay,H,UTC,EAS,SNRatio_s,SNRatio_n,AbsSignal_s,AbsSignal_n,TotalNoise_s,TotalNoise_n,NNear3,Theta,dt2_s,dt2_n,ng_s,ng_n,Crit1,Crit2
10675,E,10,688,242,241,242,241,360,307.8,2013-03-09 18:16:20,1.0,107.2117,37.68038,381.888,375.485,3.562,9.965,31.0,0.2042035,0.766965,1.802776,34.0,32.0,2.4974405611729344,2.845291768145316
10677,E,29,1336,241,240,243,240,112,307.8,2013-03-09 18:18:12,1.0,13.49221,0.4979175,719.364,249.74,53.317,501.569,51.0,0.4869469,1.157275,1.519109,56.0,13.0,5.654536867940769,27.097272230959724
10679,D,76,7143,242,250,252,242,13,307.6,2013-03-09 18:18:25,0.0,0.1018002,0.07761495,61.124,218.918,600.431,2820.565,9.0,1.193805,2.939874,1.058301,14.0,25.0,0.20158978241924652,1.3116057173820888
10683,E,22,505,236,243,472,236,181,305.9,2013-03-09 18:32:54,0.0,1.299854,0.07133408,39.266,47.345,30.208,663.708,2.0,1.1466809999999998,1.48324,1.9272479999999999,5.0,7.0,0.9281071939036936,18.222066246279116
10685,E,15,6588,242,242,242,242,1160,308.1,2013-03-09 18:52:14,1.0,88.76434,1.873949,2951.1479999999997,1915.53,33.247,1022.189,81.0,0.3298672,0.6813851,1.568929,84.0,39.0,4.959356599238364,47.3675335661312
10687,E,16,950,243,242,243,242,521,395.8,2013-03-09 19:00:55,1.0,11.03116,0.8506524,537.736,255.251,48.747,300.065,30.0,0.2984513,0.7161149,1.7320509999999998,39.0,11.0,8.575311155945911,12.967883742056541
10691,E,23,782,242,239,472,239,147,510.5,2013-03-09 19:04:50,1.0,16.25394,0.2092331,333.791,65.178,20.536,311.509,18.0,0.5340708000000001,1.069045,1.47196,21.0,6.0,4.819123610325103,77.68341975439934
10693,E,18,989,240,238,240,238,55,550.8,2013-03-09 19:05:45,1.0,11.070160000000001,0.7427965999999999,403.153,179.011,36.418,240.996,20.0,0.07853982,0.8257228000000001,2.134375,22.0,9.0,6.318538268667295,14.903350656841617
10695,E,9,372,246,241,241,241,16,563.0,2013-03-09 19:06:02,1.0,5.405623,0.2112085,294.147,51.654,54.415,244.564,13.0,0.37699109999999997,1.236694,1.5811389999999999,17.0,2.0,10.867426784637106,25.593775763408484
10697,E,72,2785,243,243,244,243,226,606.7,2013-03-09 19:09:49,1.0,12.11004,0.2076947,1038.0,150.328,85.714,723.793,31.0,0.6911503999999999,1.20185,2.345208,36.0,4.0,17.56198527270458,58.30691851955829
10699,E,37,1855,240,237,240,237,141,604.9,2013-03-09 19:12:10,1.0,23.33352,0.35686829999999997,807.853,202.855,34.622,568.431,25.0,0.4869469,1.0,1.7320509999999998,30.0,6.0,8.660255,65.38411171500775
10701,E,8,293,472,242,243,242,282,603.3,2013-03-09 19:16:52,1.0,4.59264,2.1987520000000003,205.415,163.829,44.727,74.51,13.0,0.17278759999999999,0.6831301,2.366432,15.0,10.0,5.196152240986015,2.0887485789487528
10703,E,9,225,472,242,242,242,322,601.1,2013-03-09 19:22:15,1.0,8.677342,3.628318,148.209,123.693,17.08,34.091,4.0,0.5497787,2.1505810000000003,1.7320509999999998,8.0,3.0,2.147699931630878,2.391560261352657
10707,E,9,263,472,238,239,238,71,605.8,2013-03-09 19:24:34,1.0,5.306515,0.8652509,226.689,105.404,42.719,121.819,9.0,0.6597345,1.4142139999999999,1.949359,14.0,5.0,3.8595327156993213,6.1329200983776
10709,E,18,313,472,238,242,238,39,604.4,2013-03-09 19:25:13,1.0,29.75723,1.697293,93.646,48.159,3.147,28.374,6.0,0.2356194,0.7071068,2.828427,6.0,1.0,23.99999830294377,17.532166753555128
10711,E,19,1517,242,241,242,241,30,604.8,2013-03-09 19:25:43,1.0,55.33753000000001,0.9740509,786.457,371.954,14.212,381.863,24.0,0.14137170000000002,0.6928203000000001,1.870829,25.0,14.0,4.821980636867267,56.81174514476103
10713,E,17,568,240,237,240,237,153,602.7,2013-03-09 19:28:16,1.0,7.261492,1.452936,288.775,169.687,39.768,116.789,16.0,0.6126106,1.433721,2.2110830000000004,18.0,9.0,3.084397870994427,4.99780388890297
10715,E,6,574,242,241,242,241,90,604.1,2013-03-09 19:29:47,1.0,19.19594,56.42683,190.155,175.431,9.906,3.109,11.0,0.2356194,0.5547002,1.595448,13.0,11.0,3.3991865417489566,0.3401917746708935
10717,E,16,1489,243,243,243,243,30,604.7,2013-03-09 19:30:18,1.0,65.8701,1.18777,683.534,354.383,10.377,298.36,19.0,0.1099557,0.8164965999999999,2.0701970000000003,21.0,7.0,7.606389297885627,55.456955439646585
10719,E,27,1403,242,241,241,241,29,605.9,2013-03-09 19:30:47,1.0,47.815220000000004,0.810437,645.362,274.354,13.497,338.526,22.0,0.1884956,0.8416254000000001,1.949359,24.0,5.0,11.11768157187271,58.99930219801605
10721,E,9,363,472,238,239,238,160,603.1,2013-03-09 19:33:28,1.0,6.253946,4.475028,174.754,152.858,27.943,34.158,7.0,0.1884956,0.7071068,2.171241,10.0,7.0,4.386569125262064,1.3975210422825737
10723,E,102,4575,243,240,242,240,93,602.6,2013-03-09 19:35:01,1.0,25.03204,0.1969625,1963.4879999999998,286.247,78.439,1453.307,56.0,0.8011060999999999,2.051072,2.0,58.0,5.0,11.31115826260609,127.09036432958197
10727,D,152,5834,251,239,299,239,213,602.8,2013-03-09 19:40:31,0.0,0.1862376,0.04872587,198.297,99.415,1064.753,2040.2920000000001,7.0,0.9424778,2.222049,1.680336,16.0,17.0,0.711727196782048,3.8221495989811625
10731,E,8,187,240,230,472,230,237,602.1,2013-03-09 19:44:32,1.0,6.682600999999999,0.45761419999999997,169.15,50.484,25.312,110.32,8.0,0.26703540000000003,0.8164965999999999,1.5811389999999999,9.0,2.0,8.714213261880086,14.603132824699388
10733,E,6,221,472,240,472,240,37,602.2,2013-03-09 19:45:09,0.0,11.97747,5.671251,156.306,131.125,13.05,23.121,0.0,1.162389,2.898275,1.0,5.0,1.0,1.7251641062356058,2.1119627310081848
10735,E,15,271,246,241,242,241,46,603.7,2013-03-09 19:45:55,1.0,15.213320000000001,0.5870359,269.58,87.348,17.72,148.795,11.0,0.5497787,1.322876,1.5,20.0,4.0,5.66946561884863,25.915483973656244
10737,E,13,623,242,240,241,240,517,599.4,2013-03-09 19:54:32,1.0,1000.0,1.719479,397.392,231.055,0.0,134.375,14.0,0.4869469,1.130388,2.12132,18.0,8.0,4.222417435429251,1000.0
10739,E,21,835,243,242,243,242,9,599.7,2013-03-09 19:54:42,1.0,14.772260000000001,1.726631,373.103,243.006,25.257,140.74,22.0,0.2827433,0.6741999,2.236068,22.0,11.0,6.633249278144361,8.555541982503305
10741,E,7,592,240,240,240,240,352,602.0,2013-03-09 20:00:34,1.0,8.001516,6.833428,343.105,312.479,42.88,45.728,17.0,0.1570796,0.6882472,1.290994,19.0,18.0,1.9799802874445243,1.1709373019120617
10743,E,38,17221,241,239,241,239,48,602.2,2013-03-09 20:01:22,1.0,77.9061,0.7878090999999999,8919.235999999999,3771.158,114.487,4786.893,74.0,0.7696901999999999,1.7025669999999997,2.144761,79.0,10.0,9.951803306419073,98.88956615338947
10745,E,20,1029,244,242,242,242,38,602.5,2013-03-09 20:02:00,1.0,11.21671,0.507392,477.417,160.002,42.563,315.342,19.0,0.2984513,1.618347,0.7745966999999999,21.0,5.0,2.010264881388231,22.106605174554172
10747,E,15,279,244,237,243,237,5,602.5,2013-03-09 20:02:05,1.0,5.691371,0.1310701,202.425,20.154,35.567,153.765,11.0,0.43982299999999996,1.0,2.0,14.0,1.0,28.0,43.42233278047002
10749,E,39,1795,242,238,242,238,269,601.2,2013-03-09 20:06:35,1.0,54.461969999999994,0.3700035,1094.032,291.935,20.088,789.006,32.0,0.6440265000000001,1.4234870000000002,1.9272479999999999,38.0,7.0,7.3497007198319535,147.19310464991767
