EID,Type,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER,delay,EAS,H,UTC
1756,E,6,27,510,241,510,241,172,0.0,496.8,2012-03-13 17:23:12
1757,E,6,1126,239,238,240,238,27,0.0,496.8,2012-03-13 17:23:39
1758,E,4,20,510,240,510,240,18,0.0,496.9,2012-03-13 17:23:57
1759,E,7,1925,240,238,511,238,4,0.0,496.9,2012-03-13 17:24:01
1760,L,3,17,510,239,510,239,17,0.0,496.9,2012-03-13 17:24:18
1761,E,4,22,510,240,511,240,49,0.0,496.8,2012-03-13 17:25:07
1762,L,2,10,510,239,511,239,10,0.0,496.8,2012-03-13 17:25:17
1763,L,3,18,510,239,510,239,0,0.0,496.8,2012-03-13 17:25:17
1764,L,3,13,510,240,510,240,7,0.0,496.8,2012-03-13 17:25:24
1765,E,7,1813,240,240,241,240,57,0.0,496.9,2012-03-13 17:26:21
1766,L,3,24,510,239,510,239,4,0.0,496.9,2012-03-13 17:26:25
1767,E,4,35,510,241,511,241,0,0.0,496.9,2012-03-13 17:26:25
1768,L,7,2697,239,239,240,239,12,0.0,496.9,2012-03-13 17:26:37
1769,E,6,38,510,242,510,242,3,0.0,496.9,2012-03-13 17:26:40
1770,E,5,22,510,239,510,239,2,0.0,496.9,2012-03-13 17:26:42
1771,E,4,39,510,241,510,241,37,0.0,497.0,2012-03-13 17:27:19
1772,E,4,21,510,241,511,241,17,0.0,497.0,2012-03-13 17:27:36
1773,L,1,0,510,510,510,510,27,0.0,497.0,2012-03-13 17:28:03
1774,L,3,28,510,242,511,242,14,0.0,497.1,2012-03-13 17:28:17
1775,E,4,13,510,239,510,239,2,0.0,497.1,2012-03-13 17:28:19
1776,E,5,21,510,239,511,239,9,0.0,497.0,2012-03-13 17:28:28
1777,E,4,35,510,240,510,240,30,0.0,497.1,2012-03-13 17:28:58
1778,L,3,25,510,238,510,238,5,0.0,497.1,2012-03-13 17:29:03
1779,E,4,47,510,240,510,240,1,0.0,497.1,2012-03-13 17:29:04
1780,E,4,32,510,238,510,238,33,0.0,497.2,2012-03-13 17:29:37
1781,E,25,619,239,239,239,239,1,1.0,497.2,2012-03-13 17:29:38
1782,L,3,14,510,241,510,241,6,0.0,497.2,2012-03-13 17:29:44
1783,L,1,0,510,238,510,238,1,0.0,497.2,2012-03-13 17:29:45
1784,E,13,879,242,240,242,240,1,1.0,497.2,2012-03-13 17:29:46
1785,E,4,23,510,239,510,239,4,0.0,497.2,2012-03-13 17:29:50
1786,E,4,48,510,241,510,241,2,0.0,497.2,2012-03-13 17:29:52
1787,E,4,26,510,239,510,239,1,0.0,497.2,2012-03-13 17:29:53
1788,E,5,19,510,239,510,239,8,0.0,497.2,2012-03-13 17:30:01
1789,E,5,32,510,239,510,239,0,0.0,497.2,2012-03-13 17:30:01
