EID      GPS    kod1 kod2  kod3  kod4   high    cur    temp
20546 17:47:29  739  3627  3738  1088  -25.41   0.556   4.4
20547 17:47:29  739  3627  3738  1088  -25.41   0.556   4.4
20548 17:47:29  739  3627  3738  1088  -25.41   0.556   4.4
20549 17:47:29  739  3627  3738  1088  -25.41   0.556   4.4
20550 17:47:29  739  3627  3738  1088  -25.41   0.556   4.4
20551 17:48:27  739  3627  3738  1088  -25.41   0.556   4.4
20552 17:48:27  739  3627  3738  1088  -25.41   0.556   4.4
20553 17:48:27  739  3627  3738  1088  -25.41   0.556   4.4
20554 17:48:27  739  3627  3738  1088  -25.41   0.556   4.4
20555 17:48:27  739  3627  3738  1088  -25.41   0.556   4.4
20556 17:48:27  739  3627  3738  1088  -25.41   0.556   4.4
20557 17:48:28  739  3627  3738  1088  -25.41   0.556   4.4
20558 17:48:28  739  3627  3738  1088  -25.41   0.556   4.4
20559 17:48:28  739  3627  3738  1088  -25.41   0.556   4.4
20560 17:48:28  739  3627  3738  1088  -25.41   0.556   4.4
20561 17:48:28  739  3627  3738  1088  -25.41   0.556   4.4
20562 17:48:28  739  3627  3738  1088  -25.41   0.556   4.4
20563 17:48:29  739  3627  3738  1088  -25.41   0.556   4.4
20564 17:48:29  739  3627  3738  1088  -25.41   0.556   4.4
20565 17:48:29  739  3627  3738  1088  -25.41   0.556   4.4
20566 17:48:29  739  3627  3738  1088  -25.41   0.556   4.4
20567 17:48:29  739  3627  3738  1088  -25.41   0.556   4.4
20568 17:48:29  739  3627  3738  1088  -25.41   0.556   4.4
20569 17:48:30  739  3627  3738  1088  -25.41   0.556   4.4
20570 17:48:30  739  3627  3738  1088  -25.41   0.556   4.4
20571 17:48:30  739  3627  3738  1088  -25.41   0.556   4.4
20572 17:48:30  739  3627  3738  1088  -25.41   0.556   4.4
20573 17:48:30  739  3627  3738  1088  -25.41   0.556   4.4
20574 17:48:30  739  3627  3738  1088  -25.41   0.556   4.4
20575 17:48:31  739  3627  3738  1088  -25.41   0.556   4.4
20576 17:48:31  739  3627  3738  1088  -25.41   0.556   4.4
20577 17:48:31  739  3627  3738  1088  -25.41   0.556   4.4
20578 17:48:31  739  3627  3738  1088  -25.41   0.556   4.4
20579 17:48:31  739  3627  3738  1088  -25.41   0.556   4.4
20580 17:48:31  739  3627  3738  1088  -25.41   0.556   4.4
20581 17:48:32  739  3627  3738  1088  -25.41   0.556   4.4
20582 17:48:32  739  3627  3738  1088  -25.41   0.556   4.4
20583 17:48:32  739  3627  3738  1088  -25.41   0.556   4.4
20584 17:48:32  739  3627  3738  1088  -25.41   0.556   4.4
20585 17:48:32  739  3627  3738  1088  -25.41   0.556   4.4
20586 17:48:33  739  3627  3738  1088  -25.41   0.556   4.4
20587 17:48:33  739  3627  3738  1088  -25.41   0.556   4.4
20588 17:48:33  739  3627  3738  1088  -25.41   0.556   4.4
20589 17:48:33  739  3627  3738  1088  -25.41   0.556   4.4
20590 17:48:33  739  3627  3738  1088  -25.41   0.556   4.4
20591 17:48:33  739  3627  3738  1088  -25.41   0.556   4.4
20592 17:48:34  739  3627  3738  1088  -25.41   0.556   4.4
20593 17:48:34  739  3627  3738  1088  -25.41   0.556   4.4
20594 17:48:34  739  3627  3738  1088  -25.41   0.556   4.4
20595 17:48:34  739  3627  3738  1088  -25.41   0.556   4.4
20596 17:48:34  739  3627  3738  1088  -25.41   0.556   4.4
20597 17:48:34  739  3627  3738  1088  -25.41   0.556   4.4
20598 17:48:35  739  3627  3738  1088  -25.41   0.556   4.4
20599 17:48:35  739  3627  3738  1088  -25.41   0.556   4.4
20600 17:48:35  739  3627  3738  1088  -25.41   0.556   4.4
20601 17:48:35  739  3627  3738  1088  -25.41   0.556   4.4
20602 17:48:36  739  3627  3738  1088  -25.41   0.556   4.4
20603 17:48:36  739  3627  3738  1088  -25.41   0.556   4.4
20604 17:48:36  739  3627  3738  1088  -25.41   0.556   4.4
20605 17:48:36  739  3627  3738  1088  -25.41   0.556   4.4
20606 17:48:36  739  3627  3738  1088  -25.41   0.556   4.4
20607 17:48:36  739  3627  3738  1088  -25.41   0.556   4.4
20608 17:48:37  739  3627  3738  1088  -25.41   0.556   4.4
20609 17:48:37  739  3627  3738  1088  -25.41   0.556   4.4
20610 17:48:37  739  3627  3738  1088  -25.41   0.556   4.4
20611 17:48:37  739  3627  3738  1088  -25.41   0.556   4.4
20612 17:48:37  739  3627  3738  1088  -25.41   0.556   4.4
20613 17:48:37  739  3627  3738  1088  -25.41   0.556   4.4
20614 17:48:38  739  3627  3738  1088  -25.41   0.556   4.4
20615 17:48:38  739  3627  3738  1088  -25.41   0.556   4.4
20616 17:48:38  739  3627  3738  1088  -25.41   0.556   4.4
20617 17:48:38  739  3627  3738  1088  -25.41   0.556   4.4
20618 17:48:38  739  3627  3738  1088  -25.41   0.556   4.4
20619 17:48:38  739  3627  3738  1088  -25.41   0.556   4.4
20620 17:48:40  739  3627  3738  1088  -25.41   0.556   4.4
20621 17:48:40  739  3627  3738  1088  -25.41   0.556   4.4
20622 17:48:40  739  3627  3738  1088  -25.41   0.556   4.4
20623 17:48:40  739  3627  3738  1088  -25.41   0.556   4.4
20624 17:48:40  739  3627  3738  1088  -25.41   0.556   4.4
20625 17:48:40  739  3627  3738  1088  -25.41   0.556   4.4
20626 17:48:40  739  3627  3738  1088  -25.41   0.556   4.4
20627 17:48:40  739  3627  3738  1088  -25.41   0.556   4.4
20628 17:48:40  739  3627  3738  1088  -25.41   0.556   4.4
20629 17:48:40  739  3627  3738  1088  -25.41   0.556   4.4
20630 17:48:41  739  3627  3738  1088  -25.41   0.556   4.4
20631 17:48:41  739  3627  3738  1088  -25.41   0.556   4.4
20632 17:48:41  739  3627  3738  1088  -25.41   0.556   4.4
20633 17:48:41  739  3627  3738  1088  -25.41   0.556   4.4
20634 17:48:42  739  3627  3738  1088  -25.41   0.556   4.4
20635 17:48:42  739  3627  3738  1088  -25.41   0.556   4.4
20636 17:48:42  739  3627  3738  1088  -25.41   0.556   4.4
20637 17:48:42  739  3627  3738  1088  -25.41   0.556   4.4
20638 17:48:42  739  3627  3738  1088  -25.41   0.556   4.4
20639 17:48:42  739  3627  3738  1088  -25.41   0.556   4.4
