Year Fl Number Ver H alpha beta Theta Phi Xo Yo Integral
2013 1 10675 12.000000 312.7 1.600000 -1.600000 2.562300e-01 5.354970e+00 2.36900e+01 -1.35260e+02 6.52000e+09
2013 1 10677 12.000000 312.7 1.700000 -1.600000 4.393600e-01 2.882050e+00 -2.36560e+02 3.31400e+01 2.44000e+10
2013 1 10685 12.000000 313.0 2.100000 -1.200000 3.151500e-01 -1.604650e+00 6.79000e+01 -8.45300e+01 1.67000e+10
2013 1 10687 12.000000 400.7 0.500000 -2.600000 2.718700e-01 3.097270e+00 -1.90800e+01 -3.83600e+01 9.60000e+09
2013 1 10691 12.000000 515.4 1.900000 -3.800000 5.310900e-01 2.002870e+00 3.11120e+02 2.78900e+01 5.92000e+10
2013 1 10693 12.000000 555.7 2.000000 -2.700000 9.823000e-02 5.973850e+00 2.12050e+02 -3.25890e+02 1.27000e+11
2013 1 10695 12.000000 567.9 1.900000 -2.500000 3.632500e-01 5.879400e+00 -1.36210e+02 3.05190e+02 8.21000e+10
2013 1 10697 12.000000 611.6 2.500000 -4.000000 7.086700e-01 3.959800e-01 3.27540e+02 9.89500e+01 2.10000e+11
2013 1 10699 12.000000 609.8 2.200000 -3.900000 4.770200e-01 6.918600e-01 1.59420e+02 3.02980e+02 1.53000e+11
2013 1 10701 12.000000 608.2 2.100000 -4.300000 1.884900e-01 -1.095410e+00 7.75800e+01 -1.11480e+02 1.70000e+10
2013 1 10703 12.000000 606.0 2.400000 -4.200000 1.302200e-01 2.449380e+00 1.16270e+02 -1.24420e+02 1.25000e+10
2013 1 10707 12.000000 610.7 2.200000 -4.100000 5.969800e-01 2.527430e+00 -1.33440e+02 -2.04210e+02 3.05000e+10
2013 1 10709 12.000000 609.3 2.100000 -5.100000 2.692500e-01 5.957500e-01 1.07310e+02 2.34580e+02 2.14000e+10
2013 1 10711 12.000000 609.7 2.800000 -4.200000 1.584500e-01 -1.847480e+00 -1.99350e+02 -2.38710e+02 9.01000e+10
2013 1 10713 12.000000 607.6 2.500000 -4.400000 6.983900e-01 3.847800e-01 4.61770e+02 -2.44190e+02 2.12000e+11
2013 1 10715 12.000000 609.0 2.500000 -4.900000 2.319400e-01 1.427510e+00 2.52100e+01 2.58640e+02 2.84000e+10
2013 1 10717 12.000000 609.6 2.400000 -4.700000 1.093800e-01 4.686890e+00 1.82320e+02 1.81380e+02 5.11000e+10
2013 1 10719 12.000000 610.8 1.800000 -4.500000 2.108800e-01 4.442890e+00 1.05560e+02 1.67860e+02 4.46000e+10
2013 1 10721 12.000000 608.0 1.600000 -4.400000 1.473400e-01 5.504110e+00 -9.35400e+01 5.87500e+01 1.73000e+10
2013 1 10723 12.000000 607.5 1.300000 -4.600000 7.771300e-01 6.233860e+00 2.37400e+02 -1.56680e+02 2.32000e+11
2013 1 10731 12.000000 607.0 2.600000 -4.700000 3.132100e-01 2.220700e+00 2.95430e+02 -2.40740e+02 8.51000e+10
2013 1 10735 12.000000 608.6 1.700000 -4.500000 5.327800e-01 1.855990e+00 -1.29700e+01 -2.64200e+01 3.62000e+10
2013 1 10737 12.000000 604.3 1.700000 -4.300000 4.223200e-01 2.021000e-02 -6.65100e+01 -3.36600e+01 2.32000e+10
2013 1 10739 12.000000 604.6 2.200000 -4.200000 2.593600e-01 4.910200e-01 2.55300e+01 1.86700e+02 3.27000e+10
2013 1 10741 12.000000 606.9 2.400000 -4.400000 1.446600e-01 1.576940e+00 -3.60900e+01 9.28500e+01 2.43000e+10
2013 1 10743 12.000000 607.1 1.800000 -4.500000 7.371800e-01 2.713900e+00 -3.17470e+02 -1.80920e+02 8.65000e+11
2013 1 10745 12.000000 607.4 1.800000 -4.600000 3.284800e-01 4.681620e+00 2.61750e+02 5.13100e+01 6.55000e+10
2013 1 10747 12.000000 607.4 2.800000 -4.500000 4.664700e-01 5.827640e+00 1.59410e+02 -1.26060e+02 3.48000e+10
2013 1 10749 12.000000 606.1 1.700000 -4.200000 5.981700e-01 1.782390e+00 2.61170e+02 -1.31950e+02 1.43000e+11
2013 1 10751 12.000000 606.1 2.400000 -4.700000 1.320900e-01 4.539870e+00 -2.36960e+02 -5.28100e+01 4.21000e+10
